Order ID;Return year;Return Month;Return day;Hour;Minute;Second
70;2020;1;10;14;50;32
130;2021;5;24;8;9;52
230;2019;11;1;14;6;31
290;2018;1;17;14;49;9
420;2020;12;7;14;36;16
450;2020;4;2;11;46;0
610;2020;8;1;16;31;2
640;2019;2;20;16;38;45
710;2019;1;24;8;8;41
740;2020;8;12;8;47;47
870;2019;7;6;12;56;53
900;2018;10;7;8;2;6
930;2019;1;18;10;21;33
960;2018;10;13;16;35;44
1060;2019;4;18;15;0;0
1280;2019;1;16;9;20;42
1440;2020;9;16;13;44;47
1540;2021;8;16;9;22;52
1600;2019;4;1;9;14;1
2020;2019;7;30;12;8;45
2050;2018;6;3;12;26;32
2150;2018;7;9;13;20;42
2240;2021;3;26;9;58;35
2370;2018;2;8;13;48;26
2500;2021;9;4;8;5;11
2530;2018;3;21;11;35;35
2560;2021;9;26;12;26;39
2630;2021;11;26;12;32;19
2720;2019;7;30;12;32;7
2790;2018;9;23;8;30;1
3040;2019;5;9;13;16;24
3110;2019;1;24;11;49;29
3300;2020;7;14;12;45;3
3460;2020;10;11;9;31;10
3650;2021;7;23;15;34;50
3680;2022;1;10;12;26;6
3750;2020;5;29;10;41;49
3810;2021;10;19;9;53;46
3970;2021;5;6;16;25;2
4070;2020;7;8;13;41;59
4230;2021;3;17;15;49;48
4550;2019;1;5;15;12;2
4580;2020;1;3;9;6;20
4610;2019;7;9;11;51;12
4800;2021;2;9;12;47;31
4870;2018;8;7;14;5;37
4960;2020;4;5;10;59;55
5350;2019;12;6;8;48;1
5510;2019;2;18;13;18;42
5760;2018;6;17;10;27;31
5830;2019;3;27;10;44;48
5860;2021;3;21;11;52;24
5890;2021;12;29;10;39;14
5920;2018;12;1;9;10;56
5990;2019;4;20;9;5;35
6020;2018;11;12;14;31;17
6050;2019;4;24;16;3;35
6150;2021;11;3;14;20;59
6180;2020;5;23;10;43;3
6310;2018;5;25;15;30;27
6500;2021;10;17;15;12;39
6560;2020;1;15;9;19;15
6720;2019;10;22;13;22;45
6850;2019;2;23;14;42;56
6880;2018;6;4;9;57;43
6950;2021;5;3;12;48;43
6980;2019;3;19;11;32;33
7110;2020;8;27;14;15;8
7430;2019;7;13;11;0;44
7680;2020;4;29;8;31;45
7840;2020;2;6;11;0;27
7910;2019;6;8;11;40;13
8000;2019;10;25;12;21;31
8070;2021;3;18;11;40;30
8130;2021;7;6;8;43;2
8290;2019;1;31;8;2;59
8320;2018;9;27;15;38;41
8390;2021;6;5;11;22;26
8450;2021;5;7;9;50;6
8480;2020;2;19;14;17;59
8580;2020;3;27;8;36;41
8710;2018;2;7;14;17;46
8870;2019;4;21;9;39;31
8930;2018;6;12;13;48;13
8960;2019;7;9;13;35;26
9350;2021;11;10;13;18;40
9700;2020;9;23;8;49;52
9860;2019;10;16;15;4;20
10080;2019;4;1;16;15;9
10210;2020;7;15;12;24;24
10310;2018;3;10;14;33;32
10340;2020;6;21;9;43;43
10470;2021;5;11;16;13;29
10530;2018;3;25;15;59;40
10630;2019;3;5;15;7;24
10820;2021;1;3;11;1;19
11040;2020;10;23;16;42;51
11270;2020;8;11;8;45;22
11460;2019;9;29;8;10;8
11650;2021;10;13;14;27;8
11680;2018;10;31;13;11;4
11780;2019;10;21;8;14;3
11840;2018;10;2;10;6;1
11910;2020;8;5;12;55;9
12130;2021;1;2;15;25;39
12160;2020;1;23;9;15;18
12320;2021;1;11;13;52;50
12420;2020;2;9;13;44;4
12450;2018;4;1;9;21;5
12480;2018;8;20;15;57;34
12580;2019;2;4;12;53;26
12710;2019;9;17;13;26;40
12900;2019;5;26;8;19;52
12930;2021;1;10;15;48;44
13030;2018;8;20;10;31;56
13090;2019;9;11;16;51;10
13120;2018;12;25;14;56;35
13280;2018;9;26;14;21;59
13380;2018;8;9;9;49;37
13410;2019;7;23;10;35;31
13440;2019;10;28;8;46;31
13540;2019;6;6;14;46;8
13570;2021;12;9;15;26;34
13670;2021;6;29;12;33;7
13730;2020;7;5;9;16;33
13830;2019;2;8;10;47;31
13920;2018;10;18;11;22;17
14210;2021;6;30;14;19;18
14240;2021;3;15;15;39;32
14400;2018;3;5;9;7;9
14500;2020;8;7;12;20;2
14530;2018;5;26;12;46;32
14630;2021;11;14;12;4;41
14820;2021;1;26;10;43;32
14950;2019;10;26;14;50;59
14980;2021;9;3;15;30;30
15040;2019;1;23;9;40;22
15170;2018;3;20;11;12;57
15270;2018;3;16;13;26;39
15300;2020;2;15;14;46;48
15780;2020;5;15;16;55;29
16100;2020;4;1;12;27;32
16160;2020;8;4;12;14;6
16230;2019;4;13;11;40;3
16260;2020;12;31;11;32;1
16320;2020;10;26;15;4;57
16390;2021;4;26;11;51;28
16450;2020;5;28;13;40;43
16480;2019;1;30;16;38;58
16610;2018;11;8;10;50;12
16640;2019;8;7;16;13;20
16710;2020;5;3;13;27;7
16770;2018;1;31;16;52;39
17090;2019;5;19;12;13;8
17410;2019;9;12;14;29;24
17510;2021;11;16;10;31;29
17670;2018;9;26;15;10;12
17700;2021;11;19;10;50;8
17860;2020;5;21;15;23;1
18080;2018;7;7;9;54;31
18210;2019;8;26;14;38;17
18340;2020;8;2;11;30;10
18370;2020;2;25;16;1;48
18400;2021;1;22;10;49;28
18500;2021;3;19;13;49;2
18530;2020;2;27;15;20;10
18790;2018;3;29;16;21;12
18950;2021;3;13;9;9;56
19010;2018;6;15;15;47;35
19040;2021;1;20;15;2;43
19140;2018;9;30;15;57;22
19300;2018;12;31;13;10;19
19430;2019;12;13;13;52;41
19840;2019;6;29;12;12;50
20160;2020;12;12;12;16;33
20390;2018;9;5;13;43;42
20450;2022;2;2;13;59;48
20480;2018;3;18;8;40;30
20710;2018;12;14;14;10;58
20900;2019;12;5;9;50;20
20960;2020;12;16;8;38;7
21190;2018;6;19;16;40;37
21220;2022;1;8;9;22;3
21350;2020;4;9;16;37;11
21410;2021;5;13;14;44;27
21510;2021;6;1;13;18;21
21600;2019;5;21;14;26;48
21670;2020;1;30;8;26;53
21760;2020;2;19;11;9;9
21830;2018;1;12;10;46;11
21860;2021;5;10;12;37;7
21890;2020;2;24;10;8;10
22020;2019;6;1;14;51;53
22210;2020;10;3;12;45;1
22820;2019;8;18;14;40;57
22850;2020;5;5;16;13;30
22880;2019;7;14;9;58;17
22950;2021;2;16;13;45;55
22980;2021;10;2;16;8;50
23140;2021;3;17;12;36;16
23170;2018;6;5;8;16;32
23270;2020;4;10;15;16;32
23360;2018;6;20;14;1;37
23680;2019;12;11;11;17;10
23940;2020;4;30;11;49;5
24070;2020;3;18;12;37;37
24160;2020;3;25;14;36;30
24260;2019;10;24;8;6;45
24390;2021;6;27;8;13;42
24450;2021;7;20;13;25;11
24580;2021;8;14;11;20;48
24610;2019;2;16;13;18;57
24640;2020;2;20;16;35;47
24710;2019;10;24;15;54;52
24740;2019;2;20;13;3;23
24870;2018;5;16;14;44;45
24960;2020;3;16;13;44;46
25060;2018;9;3;14;26;27
25120;2018;2;28;9;12;25
25280;2020;7;17;15;25;49
25350;2020;1;26;14;17;35
25440;2018;3;3;10;29;51
25830;2019;6;17;12;16;28
25860;2019;1;30;10;40;22
26050;2020;7;28;16;9;14
26240;2018;12;19;11;23;40
26310;2021;8;20;11;46;51
26370;2020;8;17;10;38;11
26470;2018;4;19;16;32;0
26630;2019;12;16;10;47;24
26660;2021;3;27;14;4;21
27300;2021;10;7;9;28;27
27330;2018;10;17;12;52;11
27430;2020;2;22;14;8;56
27460;2018;7;3;16;37;54
27490;2021;5;6;15;58;35
27680;2019;2;3;8;7;2
27750;2021;11;10;12;37;33
27780;2021;10;25;10;37;45
27810;2019;2;9;16;2;35
27840;2018;8;12;13;6;41
28130;2018;8;23;10;34;24
28290;2018;2;5;9;27;17
28390;2021;3;5;9;9;29
28420;2018;10;4;10;5;6
28480;2018;4;11;9;5;36
28550;2020;5;2;13;43;36
28870;2020;12;17;13;47;9
29030;2021;2;5;10;34;16
29090;2021;2;3;12;49;8
29120;2019;6;20;16;49;4
29220;2022;2;1;16;0;38
29280;2021;5;24;13;39;10
29350;2018;9;17;11;49;31
29380;2018;6;20;16;46;0
29410;2018;9;22;13;59;51
29510;2020;4;29;9;29;27
29700;2019;4;13;15;20;54
29730;2019;7;30;14;7;55
29860;2018;10;31;10;46;33
30150;2019;11;6;12;49;13
30310;2021;6;15;16;2;5
30660;2021;9;20;16;28;39
30720;2021;11;22;16;36;20
30820;2020;4;23;9;42;33
31040;2019;9;27;8;14;14
31140;2020;3;23;14;33;10
31170;2021;2;7;11;48;36
31270;2021;12;4;8;33;53
31330;2019;7;10;9;36;19
31460;2021;9;2;14;32;32
31520;2020;11;27;15;58;3
31590;2019;6;14;14;13;2
31620;2020;9;26;14;51;20
31650;2019;8;16;8;9;39
31780;2019;2;12;13;0;45
31810;2018;7;7;11;32;22
31910;2018;12;11;9;31;52
32000;2021;9;16;9;5;28
32070;2018;9;2;16;26;2
32100;2021;6;18;16;34;28
32230;2021;8;25;12;46;47
32420;2018;9;13;12;42;32
32450;2021;2;5;15;5;14
32580;2020;10;2;8;30;59
32610;2021;9;24;9;50;3
32640;2021;10;16;15;36;58
32710;2018;12;4;15;14;31
32800;2018;2;2;9;57;36
33060;2019;2;23;8;40;26
33090;2018;8;14;13;6;33
33220;2018;5;3;16;34;39
33250;2018;7;27;10;6;36
33350;2018;8;13;10;55;43
33510;2021;1;14;10;42;20
33540;2020;6;11;10;50;49
33570;2022;1;9;13;36;4
33600;2019;11;18;9;31;27
33670;2021;5;23;9;23;44
33700;2020;4;15;12;32;45
34180;2020;10;29;12;6;4
34400;2022;2;13;14;38;50
34470;2021;3;27;8;59;45
34530;2019;9;11;11;10;20
34660;2020;9;15;15;53;0
34880;2018;10;4;8;32;27
34980;2019;9;3;9;18;18
35040;2021;4;19;8;45;26
35110;2020;12;3;14;47;3
35200;2018;3;24;13;53;26
35300;2019;4;19;10;42;40
35360;2020;6;5;11;52;33
35430;2019;3;28;10;10;37
35490;2019;12;23;8;53;58
35590;2022;1;16;11;23;3
35780;2020;1;20;15;27;43
35840;2019;7;23;8;44;30
35910;2020;1;1;12;53;28
35940;2019;6;6;11;12;15
36130;2021;10;15;13;50;26
36160;2021;12;25;14;58;16
36230;2018;7;21;16;49;23
36390;2021;11;8;12;5;23
36480;2019;10;3;13;16;17
36640;2020;12;5;8;50;30
36800;2019;10;18;8;32;41
36930;2020;11;23;13;4;7
37250;2019;3;12;15;10;8
37350;2021;6;3;11;49;40
37380;2020;4;15;8;25;47
37410;2019;10;30;14;4;7
37440;2019;8;11;10;27;47
37510;2018;4;24;15;30;35
37700;2019;1;23;11;15;57
37760;2018;8;18;9;23;47
37830;2018;9;19;12;27;35
37860;2019;10;17;15;21;45
37920;2019;8;17;9;24;39
38050;2019;12;21;13;39;18
38080;2018;10;29;8;38;6
38210;2020;1;24;12;44;9
38240;2018;12;31;13;39;31
38310;2021;5;29;8;40;56
38340;2018;2;12;13;45;54
38370;2020;5;10;14;0;19
38400;2019;2;4;16;28;17
38530;2020;5;24;14;54;33
38630;2019;5;15;8;28;19
38690;2021;3;14;9;37;56
38850;2019;5;16;13;34;16
38950;2020;7;1;16;3;33
39040;2018;6;1;9;8;25
39110;2019;2;5;13;27;25
39140;2019;10;30;12;14;27
39270;2020;2;17;9;35;13
39300;2021;5;23;10;59;0
39330;2019;9;11;8;22;50
39430;2018;7;7;16;59;14
39460;2018;6;22;9;30;4
39490;2021;8;29;10;36;24
39590;2020;7;7;10;51;44
39650;2019;8;1;10;48;34
39750;2018;4;12;14;4;22
39780;2018;6;23;11;36;5
40100;2021;3;25;8;24;48
40160;2018;10;27;10;9;28
40420;2020;1;24;13;27;23
40480;2020;12;12;10;50;43
40770;2020;6;11;9;11;53
40800;2020;1;26;8;36;43
40870;2021;1;9;13;43;46
41120;2021;8;26;8;5;45
41350;2019;5;13;13;3;41
41440;2018;10;21;10;24;7
41570;2019;12;18;14;22;0
41760;2021;2;2;9;39;34
41830;2021;3;25;10;48;45
42310;2018;9;8;15;34;2
42370;2020;11;22;13;54;28
42400;2021;9;30;13;37;18
42500;2019;3;7;16;55;2
42690;2019;10;10;8;45;55
42820;2019;4;12;16;14;37
42850;2020;8;14;15;32;28
42950;2019;10;17;15;7;4
43010;2021;11;21;14;23;30
43110;2020;4;3;13;30;6
43140;2018;4;17;9;12;55
43170;2019;6;4;12;29;30
43200;2019;8;16;15;24;56
43270;2021;10;4;11;52;34
43330;2018;4;27;13;21;40
43360;2018;11;26;10;1;34
43460;2021;7;19;15;58;58
43590;2018;10;2;16;19;7
43620;2018;3;15;10;20;34
43650;2018;4;13;11;37;21
43940;2019;4;15;15;54;30
44000;2021;11;4;10;37;45
44290;2019;5;5;10;52;32
44320;2018;5;23;8;34;50
44390;2019;12;8;13;47;31
44450;2019;11;12;13;46;53
44480;2019;5;23;12;47;58
44610;2020;4;26;16;32;48
44900;2019;3;11;12;10;58
44960;2020;6;24;13;42;30
45030;2019;8;2;12;33;10
45120;2018;6;3;15;35;3
45190;2019;11;30;13;24;59
45380;2018;6;2;12;48;9
45410;2018;9;13;13;53;3
45440;2021;9;4;14;43;44
45570;2019;8;16;15;29;54
45670;2021;10;4;14;1;42
45700;2021;11;25;9;7;51
45860;2021;10;8;15;55;38
46050;2019;3;2;12;0;31
46310;2019;8;20;14;17;5
46880;2019;8;5;13;2;55
46980;2020;2;27;16;9;53
47010;2020;10;21;11;17;52
47040;2019;8;27;8;28;31
47270;2019;9;16;9;23;15
47360;2019;11;22;15;13;41
47460;2019;11;30;12;8;42
47520;2018;10;10;14;58;5
47620;2021;7;28;13;33;2
47750;2019;7;28;9;39;36
47810;2020;8;31;16;48;17
47910;2018;9;4;16;13;39
48000;2021;8;19;16;39;42
48230;2018;2;27;8;58;59
48420;2018;10;29;14;23;33
48480;2019;2;14;13;14;22
48710;2018;12;12;10;10;14
48800;2019;11;1;10;54;39
48900;2018;3;29;11;48;0
49190;2022;1;3;16;0;52
49220;2020;8;12;12;55;9
49350;2021;9;4;14;55;45
49380;2021;6;15;13;15;47
49510;2021;5;14;9;10;7
49600;2020;4;13;14;23;8
49730;2018;1;20;8;6;59
49760;2020;11;1;15;42;54
49830;2018;7;23;14;41;0
49990;2018;10;18;12;20;43
50210;2019;9;9;12;18;51
50310;2018;10;8;13;37;58
50370;2021;11;9;10;1;32
50470;2019;10;5;12;53;42
50500;2020;10;6;9;22;4
50790;2020;8;21;12;17;40
50850;2018;5;24;9;5;19
50950;2022;1;5;9;11;47
51140;2021;9;27;11;6;26
51200;2020;11;25;14;19;20
51300;2020;11;19;9;48;46
51360;2020;7;23;12;47;47
51620;2021;4;10;8;29;53
51650;2020;6;15;13;50;46
51780;2019;8;21;10;25;40
51940;2021;11;18;15;26;20
51970;2021;3;6;8;52;9
52070;2019;1;22;10;5;35
52130;2021;10;26;12;5;18
52160;2020;8;25;9;12;16
52230;2021;10;25;11;43;42
52290;2021;6;16;13;1;7
52320;2021;10;4;12;37;18
52480;2019;8;13;12;47;22
52580;2021;9;3;10;27;31
52640;2020;2;9;10;38;37
52800;2019;11;22;15;36;15
52870;2018;4;30;11;43;54
52900;2020;7;4;12;38;1
52930;2020;11;20;15;53;27
53060;2019;5;4;10;53;22
53120;2021;7;7;11;4;18
53190;2018;11;11;11;48;25
53350;2018;8;3;9;11;56
53410;2018;8;9;9;20;18
53600;2021;7;16;10;6;43
53730;2022;2;20;8;0;12
53920;2018;3;28;8;35;58
53990;2021;11;2;14;22;4
54020;2021;3;17;9;32;33
54150;2020;6;30;16;36;19
54180;2021;10;31;16;3;6
54370;2021;5;16;16;43;13
54560;2018;9;11;10;0;29
54630;2021;9;8;8;3;40
54850;2020;2;18;11;56;48
54950;2020;1;31;10;37;24
55040;2018;5;15;11;24;11
55140;2019;8;31;14;27;26
55170;2021;10;30;9;9;16
55200;2019;10;13;15;0;20
55270;2019;2;21;8;39;5
55300;2018;4;12;12;53;55
55330;2018;8;23;16;50;43
55360;2018;3;15;16;55;51
55460;2021;6;5;13;52;54
55490;2018;12;18;9;9;32
55520;2020;5;18;13;48;57
55650;2020;10;30;15;44;45
55750;2019;9;13;8;7;24
55840;2018;9;17;9;1;42
55940;2018;5;12;14;12;15
56130;2021;1;23;11;35;37
56260;2018;9;20;12;11;43
56420;2020;8;28;15;49;23
56550;2020;4;11;11;8;21
56580;2020;9;15;11;58;1
56610;2019;4;3;12;13;6
56640;2020;9;21;8;22;14
56710;2019;6;8;11;20;23
56740;2021;11;26;14;50;46
56900;2021;1;8;13;7;38
56930;2021;8;28;9;23;41
56960;2018;8;16;16;55;41
57190;2019;6;18;13;6;27
57280;2021;2;27;14;42;45
57350;2020;6;22;14;22;7
57380;2020;11;21;11;29;14
57440;2019;8;10;11;20;27
57510;2021;1;25;16;36;48
57570;2021;10;2;8;58;29
57600;2021;11;14;9;11;4
57700;2020;12;2;8;58;20
57760;2020;8;20;15;17;49
57890;2018;4;8;14;36;39
58150;2019;6;25;8;31;20
58210;2022;1;29;16;59;56
58310;2018;4;9;8;3;42
58340;2020;2;14;10;17;32
58470;2020;7;7;12;41;8
58500;2020;2;24;14;2;47
58690;2020;11;17;8;5;57
58720;2019;4;28;8;7;11
58820;2019;4;2;9;35;28
59170;2018;3;26;14;18;13
59200;2021;1;10;14;55;52
59270;2019;2;26;13;31;16
59680;2021;7;12;11;58;25
59750;2019;9;3;14;48;19
59780;2019;2;20;9;6;52
