,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
0,2595,Midtown,40.75362,-73.98376999999999,Entire home/apt,225.00,15.0,10,48,0.39,1
1,3831,Brooklyn,40.685140000000004,-73.95976,Entire home/apt,89.00,188.0,1,295,4.67,1
2,5099,Manhattan,40.74767,-73.975,Entire home/apt,200.00,362.0,3,78,0.6,19
3,5121,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60.00,0.0,29,49,0.38,365
4,5178,Manhattan,40.76489,-73.98493,Private room,79.00,141.0,2,454,3.52,242
6,5238,Lower East Side,40.713440000000006,-73.99037,Entire home/apt,150.00,86.0,1,161,1.29,1
7,5441,Manhattan,40.76076,-73.98867,Private room,85.00,323.0,3,204,1.56,10
8,5803,Park Slope,40.66829,-73.98779,Private room,89.00,12.0,4,175,1.35,0
9,6090,Manhattan,40.7353,-74.00525,Entire home/apt,120.00,226.0,180,27,0.22,271
10,6848,Williamsburg,40.70837,-73.95352,Entire home/apt,140.00,319.0,2,170,1.33,0
11,7097,Brooklyn,40.69169,-73.97185,Entire home/apt,199.00,15.0,1,215,1.79,0
13,7726,Brooklyn,40.67592,-73.94694,Entire home/apt,99.00,172.0,3,75,4.43,63
15,7801,Brooklyn,40.71842,-73.95718000000001,Entire home/apt,299.00,14.0,3,9,0.07,1
16,8024,Park Slope,40.680690000000006,-73.97706,Private room,115.00,4.0,1,143,1.15,0
17,8025,Brooklyn,40.67989,-73.97798,Private room,80.00,4.0,1,41,0.37,150
18,8110,Brooklyn,40.680009999999996,-73.97865,Private room,32.00,15.0,2,77,0.64,0
19,8490,Brooklyn,40.68371,-73.94028,Entire home/apt,120.00,63.0,2,105,0.84,296
20,8505,Brooklyn,40.65599,-73.97519,Private room,60.00,289.0,1,23,1.22,78
22,9518,Manhattan,40.86482,-73.92106,Private room,44.00,12.0,3,114,1.12,353
23,9657,East Village,40.7292,-73.98541999999999,Entire home/apt,180.00,30.0,10,33,0.26,86
24,9668,Harlem,40.82245,-73.95104,Private room,50.00,17.0,3,256,2.07,361
25,9704,Harlem,40.81305,-73.95466,Private room,52.00,145.0,2,97,1.45,326
27,9783,Hamilton Heights,40.8213,-73.95318,Private room,50.00,13.0,3,286,2.37,1
28,10452,Brooklyn,40.6831,-73.95473,Private room,70.00,115.0,1,75,0.64,251
29,10962,Brooklyn,40.668690000000005,-73.9878,Private room,89.00,26.0,4,177,1.43,349
31,11708,Bushwick,40.701859999999996,-73.92745,Entire home/apt,85.00,301.0,2,253,2.06,43
33,12048,Lower East Side,40.714009999999995,-73.98917,Shared room,40.00,76.0,1,219,1.78,0
34,12192,Alphabet City,40.7229,-73.98199,Private room,68.00,297.0,2,258,2.1,62
35,12318,Manhattan,40.79009,-73.97927,Private room,135.00,93.0,4,89,0.73,287
36,12343,Manhattan,40.81175,-73.94478000000001,Entire home/apt,150.00,91.0,7,106,0.88,1
37,12627,Flatbush,40.659440000000004,-73.96238000000001,Entire home/apt,150.00,211.0,29,12,0.44,61
38,12937,Long Island City,40.74771,-73.9474,Private room,130.00,97.0,2,269,2.33,189
39,12940,Clinton Hill,40.68111,-73.95591,Entire home/apt,110.00,301.0,7,64,0.53,339
40,13050,Brooklyn,40.68554,-73.9409,Entire home/apt,120.00,268.0,3,12,0.1,0
41,13394,Fort Greene,40.69142,-73.97376,Private room,80.00,28.0,3,142,1.17,281
42,13808,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80.00,172.0,1,135,1.17,223
43,14287,Upper West Side,40.78635,-73.97008000000001,Entire home/apt,151.00,60.0,3,86,0.71,56
44,14290,Williamsburg,40.7042,-73.9356,Entire home/apt,228.00,205.0,3,88,0.72,170
45,14314,Greenpoint,40.73506,-73.95392,Entire home/apt,149.00,133.0,2,366,3.01,269
46,14322,Kips Bay,40.73961,-73.98074,Entire home/apt,200.00,137.0,7,19,0.2,324
47,14377,Williamsburg,40.70881,-73.9593,Entire home/apt,150.00,360.0,30,111,0.91,0
48,14468,Manhattan,40.74354,-73.98122,Private room,85.00,90.0,3,20,0.71,310
49,14991,Manhattan,40.720040000000004,-73.99104,Private room,110.00,13.0,5,19,0.16,323
50,15220,Hell's Kitchen,40.755309999999994,-73.99293,Private room,69.00,89.0,2,311,2.57,1
51,15338,Brooklyn,40.72401,-73.93788,Private room,49.00,24.0,4,146,1.21,353
52,15341,Manhattan,40.7221,-73.99775,Entire home/apt,180.00,267.0,14,25,0.33,11
53,15385,Williamsburg,40.71185,-73.96204,Private room,90.00,33.0,2,46,0.4,221
56,15729,Brooklyn,40.67695,-74.01120999999999,Private room,89.00,26.0,12,25,0.22,1
57,16326,Brooklyn,40.67811,-73.96428,Entire home/apt,200.00,182.0,30,147,1.31,335
58,16338,Clinton Hill,40.69,-73.96788000000001,Private room,45.00,85.0,7,27,0.22,240
59,16421,Midtown,40.75979,-73.99119,Private room,52.00,142.0,30,193,1.59,235
61,16580,East Village,40.726490000000005,-73.97904,Private room,80.00,242.0,1,379,4.95,136
62,16595,Brooklyn,40.70933,-73.96791999999999,Entire home/apt,250.00,3.0,1,163,1.47,363
63,16821,Alphabet City,40.72298,-73.98474,Private room,99.00,18.0,1,113,1.27,356
64,16974,East Harlem,40.80164,-73.93921999999999,Entire home/apt,225.00,155.0,4,206,1.7,0
66,17092,Hell's Kitchen,40.76342,-73.98865,Private room,51.00,121.0,5,27,0.47,116
67,17693,Manhattan,40.83139,-73.94095,Private room,65.00,29.0,2,59,1.66,358
68,17747,Clinton Hill,40.68346,-73.96374,Private room,105.00,115.0,2,124,1.04,0
69,18127,Manhattan,40.72828,-73.98801,Entire home/apt,170.00,113.0,5,21,0.19,333
70,18195,Queens,40.7459,-73.90764,Private room,90.00,55.0,7,20,0.17,143
71,18590,Fort Greene,40.6932,-73.97267,Private room,95.00,219.0,3,150,1.28,0
72,18728,Meatpacking District,40.74138,-74.00197,Private room,150.00,74.0,4,180,1.69,296
73,18764,Williamsburg,40.71154,-73.96112,Private room,145.00,54.0,3,63,0.53,324
74,19159,Harlem,40.82915,-73.95136,Entire home/apt,110.00,65.0,31,55,0.48,190
75,19169,Lower East Side,40.718509999999995,-73.98892,Entire home/apt,285.00,111.0,5,76,0.64,1
76,19282,Flatbush,40.65401,-73.96323000000001,Entire home/apt,130.00,362.0,6,17,0.15,94
77,19601,Brooklyn Heights,40.69723,-73.99268000000001,Entire home/apt,"2,000.00",211.0,1,25,0.23,93
78,19812,Brooklyn,40.71833,-73.95748,Entire home/apt,105.00,62.0,3,61,0.51,295
79,20299,Manhattan,40.72334,-73.9844,Private room,60.00,300.0,3,208,1.78,67
81,20611,Brooklyn,40.71156,-73.96218,Private room,85.00,40.0,3,190,1.61,1
82,20717,Prospect Heights,40.67832,-73.97243,Private room,85.00,11.0,1,32,0.43,331
83,20724,Bushwick,40.70032,-73.9383,Private room,65.00,29.0,5,30,0.33,280
84,20734,Brooklyn,40.68233,-73.97261,Entire home/apt,135.00,312.0,3,186,3.46,0
85,20755,Clinton Hill,40.68634,-73.96600000000001,Private room,98.00,25.0,7,18,0.21,342
86,20853,Brooklyn,40.68035,-73.97162,Entire home/apt,250.00,311.0,21,23,0.31,158
87,21293,Brooklyn,40.70093,-73.92609,Entire home/apt,105.00,302.0,3,131,1.11,0
88,21456,Upper West Side,40.79764,-73.96177,Entire home/apt,140.00,117.0,30,82,0.69,320
89,21644,Manhattan,40.82803,-73.94731,Private room,89.00,0.0,1,3,0.21,365
90,21794,Chelsea,40.74008,-74.00271,Private room,111.00,6.0,7,35,0.3,343
91,22911,Bedford-Stuyvesant,40.684129999999996,-73.92357,Entire home/apt,125.00,115.0,7,139,1.18,230
92,23135,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175.00,7.0,2,254,2.18,348
93,23686,West Village,40.730959999999996,-74.00319,Entire home/apt,500.00,118.0,5,48,0.54,253
94,24143,Brooklyn,40.71332,-73.94176999999999,Private room,101.00,46.0,3,344,2.97,153
95,24285,Brooklyn,40.66941,-73.98109000000001,Entire home/apt,220.00,44.0,30,88,0.76,9
96,25235,Bedford-Stuyvesant,40.68373,-73.92376999999999,Entire home/apt,125.00,138.0,5,167,1.44,1
97,25406,Williamsburg,40.71459,-73.94844,Entire home/apt,80.00,7.0,30,29,0.37,0
98,25696,Manhattan,40.8092,-73.94421,Private room,100.00,30.0,2,188,1.7,343
99,26012,Gowanus,40.68157,-73.98989,Entire home/apt,200.00,323.0,30,20,0.2,64
100,26362,Midtown,40.75527,-73.99291,Private room,59.00,59.0,2,357,3.07,310
101,26520,Brooklyn,40.68698,-73.96571999999999,Private room,125.00,84.0,2,26,0.25,352
102,26559,Manhattan,40.7288,-73.98192,Entire home/apt,140.00,50.0,7,12,0.12,157
103,26785,Park Slope,40.66853,-73.98912,Entire home/apt,120.00,57.0,30,469,4.06,0
105,26969,Williamsburg,40.71942,-73.95748,Entire home/apt,325.00,266.0,3,341,3.03,154
106,27385,East Village,40.72555,-73.97965,Entire home/apt,225.00,47.0,1,123,1.07,340
107,27531,Park Slope,40.66831,-73.98604,Private room,99.00,294.0,2,360,3.11,0
108,27644,Hamilton Heights,40.82754,-73.94919,Entire home/apt,170.00,13.0,2,207,2.05,348
109,27659,Brooklyn,40.66499,-73.97925,Entire home/apt,400.00,45.0,2,16,0.22,331
110,27759,Manhattan,40.778420000000004,-73.97556,Entire home/apt,170.00,275.0,7,18,0.16,97
112,28321,Lefferts Garden,40.65593,-73.96053,Private room,75.00,4.0,2,9,0.08,355
113,28907,Manhattan,40.778,-73.94821999999999,Entire home/apt,150.00,364.0,5,21,0.18,1
114,29013,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70.00,73.0,3,63,0.55,260
115,29455,Manhattan,40.816179999999996,-73.94894000000001,Entire home/apt,120.00,75.0,30,162,1.42,296
116,29628,Brooklyn,40.68414,-73.96351,Private room,89.00,38.0,3,276,2.39,306
118,31130,Manhattan,40.767540000000004,-73.98399,Private room,130.00,24.0,30,60,0.52,318
119,31902,Flatlands,40.631879999999995,-73.93248,Private room,77.00,187.0,2,4,0.03,178
120,31994,Clinton Hill,40.6873,-73.9634,Private room,76.00,53.0,2,442,3.86,0
121,32023,Brooklyn,40.682959999999994,-73.93661999999999,Entire home/apt,125.00,142.0,3,253,2.22,239
122,32037,Brooklyn,40.6863,-73.96765,Private room,135.00,4.0,4,90,0.79,356
123,32100,Greenpoint,40.73409,-73.95348,Entire home/apt,250.00,302.0,29,3,0.03,156
124,32289,Brooklyn,40.71561,-73.94835,Entire home/apt,199.00,165.0,3,10,0.09,30
125,32329,Manhattan,40.72895,-73.98376999999999,Entire home/apt,160.00,13.0,14,3,0.03,349
127,32363,Kew Garden Hills,40.74028,-73.83168,Private room,140.00,242.0,2,1,0.01,63
128,32965,Bedford-Stuyvesant,40.682809999999996,-73.93524000000001,Entire home/apt,115.00,132.0,3,136,1.76,225
129,32969,Brooklyn,40.715959999999995,-73.93938,Entire home/apt,160.00,31.0,3,11,0.11,206
130,33009,Brooklyn,40.71492,-73.95935,Entire home/apt,195.00,26.0,4,249,2.17,290
131,33223,Williamsburg,40.71165,-73.96087,Private room,80.00,40.0,3,213,1.89,316
132,34760,Fort Greene,40.69101,-73.97312,Private room,44.00,51.0,8,28,0.91,0
133,36121,Brooklyn,40.67386,-73.96641,Private room,85.00,140.0,15,9,0.08,349
135,36442,Brooklyn,40.6741,-73.96595,Entire home/apt,115.00,47.0,15,4,0.05,307
136,36647,Harlem,40.79295,-73.93997,Private room,69.00,177.0,2,34,0.3,0
137,36703,Manhattan,40.73226,-74.00401,Entire home/apt,225.00,6.0,45,135,1.19,350
138,36934,Brooklyn,40.71363,-73.96398,Entire home/apt,125.00,116.0,6,27,0.24,324
140,38638,Manhattan,40.77711,-73.9527,Entire home/apt,219.00,51.0,4,132,1.16,216
141,38663,Brooklyn,40.685590000000005,-73.98094,Entire home/apt,475.00,28.0,3,23,0.25,195
142,39267,Upper East Side,40.77456,-73.95323,Entire home/apt,99.00,148.0,1,252,2.65,158
143,39282,Brooklyn,40.710879999999996,-73.95055,Private room,69.00,210.0,4,211,1.85,70
144,39572,Hell's Kitchen,40.76233,-73.98854,Private room,119.00,13.0,3,44,0.39,307
146,39593,Sunnyside,40.74559,-73.92313,Private room,79.00,361.0,30,28,0.25,105
147,39704,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135.00,355.0,2,334,2.95,2
148,40039,DUMBO,40.70207,-73.98571,Private room,250.00,41.0,3,14,0.12,333
150,41348,Gowanus,40.66858,-73.99083,Entire home/apt,250.00,161.0,2,150,2.73,1
152,42580,Brooklyn,40.68843,-73.96408000000001,Private room,70.00,16.0,2,317,3.54,0
153,42729,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165.00,16.0,2,167,1.49,363
154,42882,Staten Island,40.64524,-74.08088000000001,Private room,70.00,46.0,2,173,1.65,323
156,43957,Bushwick,40.70641,-73.91765,Private room,50.00,302.0,2,71,1.29,52
157,44096,Highbridge,40.83232,-73.93184000000001,Private room,45.00,7.0,1,262,2.33,351
158,44161,Brooklyn,40.71045,-73.9677,Entire home/apt,150.00,60.0,2,193,1.7,1
159,44212,East Village,40.72518,-73.98034,Private room,125.00,36.0,1,94,0.83,346
