id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10595,"96m2, 3BR, 2BA, Metro, WI-FI etc...",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98863,23.76527,Entire home/apt,103,1,33,2022-06-02,0.24,7,178,7,00000957568
10990,Athens Quality Apartments - Deluxe Apartment,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,71,1,62,2022-06-10,0.52,7,278,14,00001070920
10993,Athens Quality Apartments - Studio,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76473,Entire home/apt,55,1,87,2022-06-13,0.73,7,147,24,00000957080
10995,"AQA-No2 1-bedroom, smart tv, fiber connection,",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,75,1,29,2022-04-02,0.20,7,248,5,00000957422
27262,"54m2, 1-br, cable tv, wi-fi, metro",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire home/apt,71,1,17,2020-01-08,0.14,7,4,0,00000957579
767272,Luxury Gallery garden house,964919,Rebecca,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98412,23.72108,Entire home/apt,350,3,2,2017-06-09,0.02,1,258,0,
2219385,Modern central flat Old Olympic stadium-Acropolis,11322414,Jessy,,ΣΤΑΔΙΟ,37.96538,23.74292,Entire home/apt,65,2,29,2022-05-22,0.35,2,94,13,00001175559
28186,❤️Deluxe central loft near Acropolis❤️,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.976334,23.729834,Entire home/apt,79,2,472,2022-06-14,3.85,2,309,17,00001466012
2263679,A great venue with classic decor,11548006,Stratos,,ΣΤΑΔΙΟ,37.96822,23.73865,Entire home/apt,150,5,1,2014-05-12,0.01,1,364,0,
780733,TOP KOLONAKI...Top Kolonaki Centre.,314308,Nora,,ΚΟΛΩΝΑΚΙ,37.9793,23.73782,Entire home/apt,300,2,0,,,1,365,0,
31155,sleep on sailing boat,133845,Irene,,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room,39,1,0,,,1,0,0,
783955,New- A beautiful apartment,4134047,Theo,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98857,23.73404,Entire home/apt,70,3,0,,,1,362,0,
784414,Nice Apt 98m2 Center Athens,4136310,Maria-Louisa,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9986,23.72828,Entire home/apt,30,1,1,2016-08-15,0.01,1,354,0,00000112393
800755,❤️The 1 and only Acropolis penthouse!❤️,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97835,23.72368,Entire home/apt,259,2,298,2022-06-07,2.63,2,320,53,00001466060
