Study,treat.cases,treat.n,control.cases,control.n,dose,age,treat.case.or,treat.n.or,control.cases.or,control.n.or
Aaronson et al.(2018),13,81,88,142,high,61,1.113943352,1.908485019,1.944482672,2.152288344
Adams et al.(2016),18,69,94,196,low,53,1.255272505,1.838849091,1.973127854,2.292256071
Azzi et al.(2020),17,67,49,122,low,46,1.230448921,1.826074803,1.69019608,2.086359831
Cao et al.(2015),25,103,31,132,low,36,1.397940009,2.012837225,1.491361694,2.120573931
Hart et al.(2007),13,78,52,80,low,65,1.113943352,1.892094603,1.716003344,1.903089987
He et al.(2011),12,47,53,101,low,54,1.079181246,1.672097858,1.72427587,2.004321374
Leonard et al.(2008),10,60,126,231,high,57,1,1.77815125,2.100370545,2.36361198
Li et al.(2018),16,105,88,289,high,41,1.204119983,2.021189299,1.944482672,2.460897843
McKinstry et al.(2006),27,109,28,159,low,35,1.431363764,2.037426498,1.447158031,2.201397124
Mehra et al.(2019),17,72,27,37,low,73,1.230448921,1.857332496,1.431363764,1.568201724
Mikkelson et al.(2007),6,54,110,148,high,66,0.77815125,1.73239376,2.041392685,2.170261715
Olenko et al.(2007),10,53,65,156,low,50,1,1.72427587,1.812913357,2.193124598
Rothenhall et al.(2012),9,55,81,158,low,56,0.954242509,1.740362689,1.908485019,2.198657087
Rothman et al.(2013),10,49,213,290,low,67,1,1.69019608,2.328379603,2.462397998
Saad et al.(2007),24,88,78,244,low,45,1.380211242,1.944482672,1.892094603,2.387389826
Sanchez et al.(2009),16,110,226,289,high,72,1.204119983,2.041392685,2.354108439,2.460897843
Stevens et al.(2016),18,96,28,101,low,43,1.255272505,1.982271233,1.447158031,2.004321374
Wang et al.(2010),18,78,45,107,low,52,1.255272505,1.892094603,1.653212514,2.029383778
Yahoi et al.(2015),21,106,70,256,low,39,1.322219295,2.025305865,1.84509804,2.408239965
