Color,Director,Reviews,Duration,Director_facebook_likes,Actor_3_facebook_likes,Actor_2_name,Actor_1_facebook_likes,Gross,Genre,Actor_1_name,Title,Votes,Cast_total_facebook_likes,Actor_3_name,Facenumber_in_poster,Plot_keywords,Movie_imdb_link,Language,Content_rating,Budget,Year,Actor_2_facebook_likes,Imdb_score,Aspect_ratio,Movie_facebook_likes
Color,James Cameron,723,178,0,855,Joel David Moore,1000,760505847,Action,CCH Pounder,Avatara,886204,2791,Wes Studi,0,avatar|future|marine|native|paraplegic,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,English,PG-13,237000000,2009,936,7.9,1.78,33000
Color,Gore Verbinski,302,169,563,1000,Orlando Bloom,40000,309404152,Action,Johnny Depp,Pirates of the Caribbean: At World's Enda,471220,46563,Jack Davenport,0,goddess|marriage ceremony|marriage proposal|pirate|singapore,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,English,,300000000,2007,5000,7.1,2.35,0
Color,Sam Mendes,602,148,0,161,Rory Kinnear,11000,200074175,Action,Christoph Waltz,Spectrea,275868,11554,Stephanie Sigman,1,bomb|espionage|sequel|spy|terrorist,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,English,PG-13,245000000,2015,393,6.8,2.35,85000
Color,Christopher Nolan,813,164,22000,23000,Christian Bale,27000,448130642,Action,Tom Hardy,The Dark Knight Risesa,1144337,95000,Joseph Gordon-Levitt,0,deception|imprisonment|lawlessness|police officer|terrorist plot,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,English,PG-13,250000000,2012,23000,8.5,2.35,164000
Color,Andrew Stanton,462,132,475,530,Samantha Morton,640,73058679,Action,Daryl Sabara,John Cartera,212204,2277,Polly Walker,1,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,English,PG-13,263700000,2012,632,6.6,2.35,24000
Color,Sam Raimi,392,156,0,4000,James Franco,24000,336530303,Action,J.K. Simmons,Spider-Man 3a,383056,39000,Kirsten Dunst,0,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,PG-13,258000000,2007,11000,6.2,2.35,0
Color,Nathan Greno,324,100,15,284,Donna Murphy,799,200807262,Adventure,Brad Garrett,Tangleda,294810,1651,M.C. Gainey,1,17th century|based on fairy tale|disney|flower|tower,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,English,PG,260000000,2010,553,7.8,1.85,29000
Color,Joss Whedon,635,141,0,19000,Robert Downey Jr.,26000,458991599,Action,Chris Hemsworth,Avengers: Age of Ultrona,462669,66000,Scarlett Johansson,4,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,English,PG-13,250000000,2015,21000,7.5,2.35,118000
Color,David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956980,Adventure,Alan Rickman,Harry Potter and the Half-Blood Princea,321795,46282,Rupert Grint,3,blood|book|love|potion|professor,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,English,PG,250000000,2009,11000,7.5,2.35,10000
Color,Zack Snyder,673,183,0,2000,Lauren Cohan,15000,330249062,Action,Henry Cavill,Batman v Superman: Dawn of Justicea,371639,21000,Alan D. Purwin,0,based on comic book|batman|sequel to a reboot|superhero|superman,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,English,PG-13,250000000,2016,4000,6.9,2.35,197000
Color,Bryan Singer,434,169,0,903,Marlon Brando,18000,200069408,Action,Kevin Spacey,Superman Returnsa,240396,28903,Frank Langella,0,crystal|epic|lex luthor|lois lane|return to earth,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,English,PG-13,209000000,2006,10000,6.1,2.35,0
