year,month,date,casual,registered
2011,2,9,53,1552
2011,2,16,218,1897
2011,2,17,259,2216
2011,2,26,424,1545
2011,3,6,114,491
2011,3,16,321,1871
2011,4,12,257,1777
2011,4,13,209,1953
2011,4,20,613,3331
2011,4,25,773,3300
2011,6,7,763,4070
2011,6,12,1467,2993
2011,6,26,1920,3385
2011,7,3,2282,2367
2011,7,24,1050,2556
2011,7,31,1524,2778
2011,8,13,1504,2646
2011,8,20,1914,3277
2011,9,3,1935,2549
2011,10,7,949,4036
2011,10,10,1514,3603
2011,11,4,470,3576
2011,11,13,1004,2713
2011,11,14,595,3891
2011,11,15,449,3746
2011,12,9,261,3359
2011,12,24,155,856
2011,12,26,430,887
2012,1,3,89,2147
2012,1,11,92,2085
2012,1,20,115,3048
2012,1,27,269,3187
2012,2,23,516,4546
2012,3,9,447,4122
2012,3,15,1005,5187
2012,3,18,2207,3685
2012,3,20,1051,5042
2012,3,24,1033,2339
2012,4,8,2230,2939
2012,5,20,2704,4425
2012,5,24,1059,5711
2012,6,21,778,5127
2012,7,14,2355,4614
2012,8,3,1328,5847
2012,8,15,1198,6149
2012,9,9,2570,5657
2012,9,22,2512,5883
2012,9,23,2454,5453
2012,9,25,845,6693
2012,9,30,2015,4874
2012,10,30,87,1009
2012,11,25,309,2115
2012,11,26,337,4750
2012,12,2,892,3757
2012,12,22,205,1544
2012,12,30,364,1432
