"Date","Yield","Date.1","Day","MinTemp","MaxTemp","Rain","Evap","Sun"
"1/12/2014",109.69,1,"Mo",NA,32,0,16,10
"2/12/2014",140.99,2,"Tu",15.5,28,0,4,10
"3/12/2014",60.89,3,"We",NA,23,0,NA,1.5
"4/12/2014",121.2,4,"Th",NA,28.5,10,NA,8
"7/12/2014",60.02,7,"Su",NA,20,14.2,NA,1
"8/12/2014",95.86,8,"Mo",14.5,21,0,NA,4.5
"10/12/2014",61.23,10,"We",10.5,20.5,0,NA,0.5
"12/12/2014",144.55,12,"Fr",11.5,NA,0.6,4.6,NA
"13/12/2014",149.95,13,"Sa",NA,31,0,NA,NA
"14/12/2014",119.54,14,"Su",12,29.5,0,18.8,4.5
"15/12/2014",132.73,15,"Mo",13.5,25.2,0,6.8,NA
"16/12/2014",120.06,16,"Tu",14.3,33.7,0,5.2,5.2
"17/12/2014",128.35,17,"We",8.8,22.8,0,9,7.7
"18/12/2014",90.51,18,"Th",9,25.7,0,6.2,5.5
"19/12/2014",131.61,19,"Fr",8.2,NA,2.6,4.2,NA
"20/12/2014",147.4,20,"Sa",NA,NA,0,NA,NA
"21/12/2014",124.24,21,"Su",NA,34,0,NA,NA
"22/12/2014",103.84,22,"Mo",NA,23.8,0,8.4,4.5
"23/12/2014",63.99,23,"Tu",19.6,27,0.7,3.2,3.2
"24/12/2014",132.54,24,"We",12.6,23.2,0,4.8,7.1
"25/12/2014",147.16,25,"Th",11.3,25.2,0,6,8.3
"26/12/2014",138.93,26,"Fr",10,22,3.4,7.6,7.7
"27/12/2014",153.75,27,"Sa",10.2,23,0,6.6,9.1
"28/12/2014",133.26,28,"Su",10.6,33,0,7,9.2
"29/12/2014",75.51,29,"Mo",15.3,28,0,8,3
"30/12/2014",115.21,30,"Tu",10.5,24,1.3,5.3,5.3
"1/01/2015",124,1,"Th",11.2,27.9,0,3.6,5.3
"2/01/2015",129.56,2,"Fr",13.4,41,0,7.2,9
"7/01/2015",102.22,7,"We",17.5,38.3,0,6.4,6.9
"8/01/2015",63.49,8,"Th",21.5,28.9,6.8,7,2.8
"12/01/2015",138.65,12,"Mo",14.6,31.8,0,7.4,11.8
"13/01/2015",41.18,13,"Tu",20.4,25.8,0.2,7.6,3
"14/01/2015",41.57,14,"We",17.9,21.8,10.8,2.8,0.7
"15/01/2015",65.3,15,"Th",15.2,20.9,0.2,2.8,2.5
"16/01/2015",141.28,16,"Fr",9.6,28.3,0,2.8,10.8
"17/01/2015",135.73,17,"Sa",14.2,26,1,6.8,10.5
"18/01/2015",112.72,18,"Su",12.3,20,0,7.5,7.7
"19/01/2015",144.59,19,"Mo",11,24.2,0,6.6,10.2
"21/01/2015",115.4,21,"We",19,33.9,0,5.2,8
"22/01/2015",123.27,22,"Th",19,37.2,0,7.4,8.4
"23/01/2015",141.01,23,"Fr",20.2,27,0,8,10.5
"24/01/2015",143.4,24,"Sa",15.2,29.2,0,8,10
"25/01/2015",114.36,25,"Su",13.1,25.2,0,6.4,9.8
"26/01/2015",98.88,26,"Mo",9.5,20.7,0.6,5.9,6.2
"28/01/2015",135.57,28,"We",13.7,25.2,0,4.4,11.5
"29/01/2015",113.04,29,"Th",11.2,22.7,0,7.8,11.2
"30/01/2015",87.35,30,"Fr",8.2,21.5,0,6.2,6.8
"31/01/2015",107.99,31,"Sa",12.3,21.1,0,4.4,9.1
"1/02/2015",70.69,1,"Su",12.8,19.6,7.3,4.3,3.1
"2/02/2015",118.34,2,"Mo",12.9,22.3,3.2,0.4,6.8
"3/02/2015",120.47,3,"Tu",15,21.4,0,5.8,7.3
"4/02/2015",111.12,4,"We",14.8,19.8,0,6.7,7.2
"5/02/2015",141.5,5,"Th",9.5,26.8,0,3.3,12
"6/02/2015",127.93,6,"Fr",12.6,36.2,0,7.6,10.6
"7/02/2015",81.56,7,"Sa",20.4,35.5,0,7,5.8
"8/02/2015",81.12,8,"Su",18,22.8,0,6.3,4.9
"9/02/2015",141.06,9,"Mo",11,28,0,5.4,9.7
"10/02/2015",135.54,10,"Tu",14.2,32.2,0,5.4,10.7
"11/02/2015",125.68,11,"We",16.7,36,0,6.4,10.7
"12/02/2015",124.45,12,"Th",17.2,25,0,7.4,8.8
"13/02/2015",77.18,13,"Fr",13.5,33.7,0,5.2,5.1
"14/02/2015",104.07,14,"Sa",18.2,26.3,27.2,6.4,8.8
"15/02/2015",129.43,15,"Su",15.5,34.2,0,2,10.7
"16/02/2015",135.76,16,"Mo",17.4,25.3,0.2,11,8.8
"17/02/2015",47.24,17,"Tu",17,20.9,0,6.8,1.3
"18/02/2015",56.18,18,"We",16.4,21.4,0,2.4,0
