x,lifetime
1,16827
2,17379
3,16776
4,16044
5,17040
6,16037
7,15600
8,16548
9,16228
10,16577
11,17089
12,16407
13,16958
14,15920
15,15997
16,16238
17,16111
18,16034
19,15973
20,16386
21,16213
22,16834
23,16853
24,16496
25,16385
26,16805
27,16229
28,16548
29,16795
30,16167
31,16930
32,15971
33,16684
34,16175
35,16896
36,16329
37,15831
38,16649
39,15953
40,16693
41,17080
42,16580
43,16799
44,16544
45,16371
46,16769
47,16345
48,15466
49,16160
50,15383
51,16859
52,16835
53,16640
54,15648
55,16170
56,17350
57,16807
58,15833
59,17288
60,15830
61,15899
62,16815
63,16360
64,16591
65,16173
66,15549
67,16822
68,15916
69,16827
70,16821
71,16342
72,16186
73,16208
74,15849
75,15853
76,16140
77,16503
78,17270
79,17130
80,16866
81,16058
82,15354
83,15796
84,16403
85,16051
86,17025
87,16307
88,16421
89,17200
90,16641
91,16450
92,16376
93,16642
94,15807
95,15775
96,16512
97,16648
98,16994
99,16779
100,16756
101,16722
102,17151
103,16627
104,16919
105,16202
106,15511
107,15988
108,16051
109,16947
110,16352
111,17464
112,16652
113,16461
114,17155
115,16410
116,15414
117,16649
118,16792
119,16819
120,16427
121,16643
122,16304
123,17613
124,16747
125,17015
126,15938
127,16497
128,17351
129,15590
130,17043
131,17211
132,15406
133,16276
134,16787
135,15913
136,16261
137,16230
138,16039
139,16112
140,16564
141,16282
142,17131
143,16049
144,16532
145,16449
146,16360
147,17387
148,16707
149,16624
150,16493
151,16162
152,16047
153,17198
154,16928
155,15907
156,16109
157,17135
158,15836
159,16532
160,16975
161,16475
162,15879
163,17622
164,16680
165,16480
166,16755
167,15461
168,17004
169,16112
170,15765
171,16097
172,16087
173,16282
174,17270
175,16472
176,15195
177,16161
178,16700
179,16081
180,17321
181,16773
182,16157
183,16328
184,15667
185,17111
186,15529
187,15728
188,15940
189,16889
190,17328
191,16697
192,16631
193,17065
194,16132
195,16179
196,16754
197,17187
198,16518
199,15688
200,16612
201,16516
202,16530
203,15925
204,16112
205,17577
206,16190
207,16824
208,16423
209,16028
210,17367
211,16194
212,16148
213,16228
214,16585
215,16039
216,16208
217,15717
218,16156
219,16008
220,15740
221,16349
222,15989
223,16395
224,16829
225,16546
226,16701
227,17035
228,16710
229,16084
230,16551
231,15979
232,16517
233,16559
234,16233
235,16689
236,16610
237,15474
238,16330
239,16630
240,16659
241,15980
242,17484
243,16803
244,17062
245,16267
246,16677
247,16547
248,16408
249,16070
250,16982
251,16551
252,16229
253,16798
254,16331
255,17628
256,16985
257,15433
258,16241
259,16483
260,16365
261,16797
262,16042
263,15931
264,16602
265,16358
266,16986
267,15727
268,16262
269,17060
270,17450
271,16414
272,16396
273,16832
274,16353
275,15673
276,15652
277,16644
278,17140
279,16201
280,16187
281,16120
282,16959
283,16286
284,16055
285,16842
286,15137
287,16424
288,17024
289,16735
290,15982
291,16397
292,16310
293,16697
294,15339
295,16080
296,15617
297,16230
298,16126
299,16675
300,16372
