,Pressure
1,79.375
2,76.5625
3,78.75
4,74.0625
5,77.34375
6,77.65625
7,85
8,86.71875
9,81.5625
10,81.5625
11,80.3125
12,83.125
13,84.6875
14,83.75
15,79.21875
16,77.1875
17,75.46875
18,82.03125
19,78.59375
20,78.59375
21,75.9375
22,83.4375
23,79.84375
24,82.5
25,83.4375
26,82.1875
27,81.5625
28,83.125
29,83.125
30,78.28125
31,77.96875
32,79.53125
33,82.96875
34,79.53125
35,78.28125
36,79.84375
37,77.96875
38,82.5
39,82.5
40,78.59375
41,79.21875
42,82.5
43,82.96875
44,84.6875
45,84.375
46,77.65625
47,82.03125
48,82.03125
49,77.03125
50,80.15625
51,80.3125
52,79.6875
53,85.15625
54,82.8125
55,83.28125
56,80.625
57,82.03125
58,82.03125
59,82.5
60,80.78125
61,82.1875
62,79.375
63,77.5
64,79.375
65,75.9375
66,81.25
67,81.25
68,79.6875
69,81.25
70,85.625
71,82.5
72,79.53125
73,80.9375
74,83.90625
75,78.28125
76,78.90625
77,78.90625
78,79.6875
79,81.875
80,81.25
81,80.9375
82,81.25
83,80.15625
84,84.6875
85,80.625
86,80.625
87,81.5625
88,82.65625
89,79.84375
90,77.8125
91,80.9375
92,85.625
93,82.8125
94,82.1875
95,77.03125
96,77.03125
97,86.25
98,82.1875
99,78.90625
100,82.5
101,80.78125
102,80.3125
103,82.1875
104,77.96875
105,77.96875
106,78.90625
107,86.25
108,77.65625
109,82.8125
110,86.25
111,80.15625
112,81.875
113,78.90625
114,80.3125
115,80.3125
116,78.75
117,87.34375
118,83.125
119,82.96875
120,79.6875
121,90.3125
122,104.0625
123,87.8125
124,87.8125
125,85.625
126,78.75
127,79.0625
128,79.6875
129,78.4375
130,74.84375
131,83.125
132,80.15625
133,78.90625
134,78.90625
135,83.4375
136,80.78125
137,83.28125
138,85.9375
139,86.5625
140,78.125
141,85.46875
142,83.75
143,85.9375
144,85.9375
145,86.875
146,78.75
147,85.46875
148,86.25
149,85.9375
150,82.8125
151,82.8125
152,81.25
153,81.25
154,82.65625
155,78.28125
156,86.25
157,84.0625
158,83.125
159,82.8125
160,85.15625
161,80.46875
162,86.875
163,86.875
164,80
165,79.0625
166,83.75
167,84.0625
168,83.125
169,79.0625
170,78.59375
171,82.1875
172,82.1875
173,88.125
174,85.15625
175,81.875
176,80.3125
177,80.78125
178,86.5625
179,80
180,80
181,80
182,80.46875
183,80.78125
184,85.15625
185,86.71875
186,80.9375
187,85.46875
188,83.125
189,84.6875
190,82.03125
191,82.03125
192,80.625
193,87.1875
194,80.625
195,83.90625
196,79.375
197,80.15625
198,78.28125
199,82.5
200,82.5
201,81.25
202,82.03125
203,82.1875
204,83.4375
205,84.53125
206,82.96875
207,78.90625
208,83.28125
209,91.875
210,91.875
211,84.6875
212,85.625
213,80.46875
214,83.125
215,84.0625
216,86.25
217,81.25
218,78.59375
219,78.59375
220,80.15625
221,80.9375
222,82.96875
223,83.75
224,84.375
225,86.25
226,81.25
227,81.5625
228,81.5625
229,81.5625
230,81.5625
231,81.5625
232,81.5625
233,79.6875
234,79.0625
235,81.5625
236,83.4375
237,85.15625
238,85.15625
239,80.9375
240,83.4375
241,80.15625
242,86.09375
243,82.8125
244,78.59375
245,82.65625
246,82.1875
247,82.1875
248,81.875
249,81.875
250,81.875
251,78.59375
252,78.59375
253,85.9375
254,80
255,86.09375
256,86.09375
257,85.625
258,79.0625
259,85.3125
260,85.15625
261,79.84375
262,79.6875
263,79.6875
264,79.6875
265,79.6875
266,79.6875
267,84.0625
268,85.15625
269,82.8125
270,79.0625
271,90.46875
272,79.375
273,81.25
274,79.21875
275,85
276,83.59375
277,83.59375
278,85.15625
279,85.46875
280,85
281,87.96875
282,88.125
283,88.125
284,87.96875
285,87.8125
286,90.9375
287,90.78125
288,90.9375
289,90.9375
290,90.78125
291,90.9375
292,84.6875
293,84.6875
294,88.4375
295,90.3125
296,83.59375
297,83.4375
298,81.5625
299,81.5625
300,85.9375
301,87.96875
302,87.96875
303,83.4375
304,88.125
305,90.15625
306,87.96875
307,82.8125
308,82.03125
309,88.4375
310,83.4375
311,88.90625
312,88.90625
313,81.5625
314,85.9375
315,85.15625
316,82.5
317,85.625
318,80.15625
319,81.5625
320,84.0625
321,84.0625
322,83.125
323,81.25
324,85.9375
325,82.1875
326,81.875
327,81.875
328,82.03125
329,89.0625
330,85.3125
331,85.3125
332,78.75
333,84.375
334,82.96875
335,89.53125
336,83.125
337,84.84375
338,90.46875
339,89.6875
340,89.6875
341,83.90625
342,92.1875
343,89.84375
344,85.46875
345,83.125
346,83.75
347,81.5625
348,83.125
349,89.84375
350,89.84375
351,83.75
352,85.625
353,81.40625
354,83.125
355,86.5625
356,86.5625
357,84.375
358,85.625
359,85.625
360,86.5625
361,83.90625
362,85.15625
363,90.15625
364,86.875
365,90.3125
366,88.4375
367,87.5
368,84.53125
369,85
370,85
371,79.6875
372,85.3125
373,82.8125
374,80.46875
375,84.375
376,79.375
377,87.65625
378,87.65625
379,82.03125
380,85
381,81.875
382,83.75
383,86.5625
384,86.25
385,83.4375
386,82.5
387,87.1875
388,87.1875
389,88.28125
390,88.28125
391,84.375
392,86.875
393,89.53125
394,90.46875
395,87.5
396,85
397,82.5
398,82.5
399,90.3125
400,84.6875
401,89.53125
402,85.3125
403,82.5
404,83.75
405,85.9375
406,82.5
407,82.5
408,83.125
409,87.1875
410,81.5625
411,80.625
412,89.84375
413,84.53125
414,86.875
415,85
416,85
417,80.78125
418,84.0625
419,84.0625
420,84.375
421,87.1875
422,84.375
423,91.5625
424,84.53125
425,84.0625
426,84.0625
427,81.5625
428,86.875
429,80.78125
430,85.625
431,88.75
432,82.1875
433,89.0625
434,87.03125
435,87.03125
436,79.6875
437,82.5
438,84.0625
439,85.625
440,87.8125
441,80.78125
442,86.09375
443,82.8125
444,82.8125
445,85.9375
446,84.375
447,82.1875
448,83.28125
449,88.125
450,82.1875
451,83.28125
452,77.8125
453,85.3125
454,85.3125
455,83.125
456,84.0625
457,83.125
458,84.6875
459,84.6875
460,84.6875
461,82.5
462,85
463,85
464,84.375
465,83.75
466,82.1875
467,76.875
468,78.28125
469,83.28125
470,82.1875
471,85.625
472,84.375
473,84.375
474,78.59375
475,85
476,84.53125
477,80.46875
478,85.9375
479,85.15625
480,86.5625
481,82.8125
482,82.8125
483,84.375
484,88.125
485,83.4375
486,82.1875
487,84.6875
488,88.125
489,81.71875
490,83.125
491,82.65625
492,82.65625
493,84.6875
494,80.625
495,81.25
496,89.84375
497,86.5625
498,86.71875
499,85.15625
500,79.53125
501,79.53125
502,83.125
503,81.25
504,80.9375
505,80.9375
506,85.3125
507,84.375
508,82.1875
509,82.65625
510,84.375
511,84.375
512,85
513,80.9375
514,80.3125
515,79.375
516,82.8125
517,77.96875
518,86.875
519,83.90625
520,83.90625
521,83.75
522,80.15625
523,78.75
524,86.25
525,83.4375
526,83.28125
527,83.28125
528,83.125
529,83.125
530,84.375
531,85.46875
532,85.9375
533,81.25
534,84.84375
535,83.28125
536,86.5625
537,82.96875
538,79.84375
539,79.84375
540,85.46875
541,87.8125
542,85.625
543,82.1875
544,84.6875
545,81.25
546,82.5
547,87.1875
548,87.1875
549,80.9375
550,82.03125
551,79.21875
552,81.25
553,80.3125
554,78.28125
555,80.9375
556,80.46875
557,79.53125
558,79.53125
559,82.8125
560,85.46875
561,82.8125
562,76.5625
563,78.28125
564,79.53125
565,82.1875
566,80.15625
567,80.15625
568,80.78125
569,80.15625
570,82.1875
571,83.4375
572,87.5
573,84.375
574,82.65625
575,80.15625
576,85.9375
577,85.9375
578,81.875
579,82.65625
580,80.9375
581,80.3125
582,88.4375
583,88.4375
584,82.1875
585,79.0625
586,88.4375
587,88.4375
588,86.25
589,88.4375
590,79.6875
591,87.8125
592,84.375
593,86.40625
594,86.40625
595,86.40625
596,84.53125
597,84.53125
598,87.1875
599,84.6875
600,81.25
601,86.09375
602,86.25
603,86.25
604,86.875
605,85.15625
606,85.15625
607,77.34375
608,83.75
609,79.0625
610,79.0625
611,80.15625
612,80.15625
613,83.75
614,82.8125
615,85.625
616,85.625
617,86.25
618,91.09375
619,79.375
620,86.5625
621,80
622,80
623,77.65625
624,77.65625
625,83.4375
626,85
627,82.1875
628,82.1875
629,84.6875
630,82.8125
631,82.34375
632,82.34375
