TransactionID,ProductID,CustomerID,Quantity,SalesAmount,TransactionDate
1,1,1,2,600,1/04/2023
2,2,2,1,200,2/04/2023
3,3,3,3,0,3/04/2023
4,4,4,1,100,4/04/2023
5,5,5,4,1600,5/04/2023
6,6,6,2,800,6/04/2023
7,7,7,3,100,7/04/2023
8,8,8,1,300,8/04/2023
9,9,9,2,500,9/04/2023
10,10,10,3,1500,10/04/2023
11,11,11,4,400,11/04/2023
12,12,12,1,600,12/04/2023
13,13,13,2,800,13/04/2023
14,14,14,3,750,14/04/2023
15,15,15,4,1200,15/04/2023
16,16,16,1,450,16/04/2023
17,17,17,2,700,17/04/2023
18,18,18,3,350,18/04/2023
19,19,19,4,900,19/04/2023
20,20,20,1,200,20/04/2023
21,21,21,2,1000,21/04/2023
22,22,22,3,600,22/04/2023
23,23,23,4,150,23/04/2023
24,24,24,3,750,24/04/2023
25,25,25,4,1600,25/04/2023
26,26,26,1,200,26/04/2023
27,27,27,2,600,27/04/2023
28,28,28,3,450,28/04/2023
29,29,29,1,300,29/04/2023
30,30,30,2,500,30/04/2023
31,31,31,3,1500,1/05/2023
32,32,32,4,400,2/05/2023
33,33,33,1,600,3/05/2023
34,34,34,2,800,4/05/2023
35,35,35,3,750,5/05/2023
36,36,36,4,1200,6/05/2023
37,37,37,1,450,7/05/2023
38,38,38,2,700,8/05/2023
39,39,39,3,350,9/05/2023
40,40,40,4,900,10/05/2023
41,41,41,1,200,11/05/2023
42,42,42,2,1000,12/05/2023
43,43,43,3,600,13/05/2023
44,44,44,4,150,14/05/2023
45,45,45,1,100,15/05/2023
46,46,46,2,800,16/05/2023
47,47,47,3,450,17/05/2023
48,48,48,4,1600,18/05/2023
49,49,49,1,300,19/05/2023
50,50,50,2,500,20/05/2023
51,51,51,3,1500,21/05/2023
52,52,52,4,400,22/05/2023
