id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Description,Fee,Status,Seller Message,Card ID,Customer ID,Invoice ID,Transfer,price_id (metadata),product_id (metadata)
ch_3OZDAYAKv6LsYLX20xMSoqBq,1/16/2024 13:59,27,0,usd,TRUE,15,0,usd,Subscription creation,0.96,Paid,Payment complete.,pm_1OZDAXAKv6LsYLX2IsXJ0UHK,cus_PNd0tSQPnnRpHY,in_1OZDAXAKv6LsYLX2uHncWgbm,,,
ch_3OZCnTAKv6LsYLX23TJxh796,1/16/2024 13:35,326.95,0,eur,TRUE,345.52,0,usd,,15.5,Paid,Payment complete.,pm_1OZCnTAKv6LsYLX2E9OYeJd7,cus_PNybEgvYf4HhJI,in_1OZCnXAKv6LsYLX2ccwDalCa,,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd
ch_3OZBrlAKv6LsYLX23iaUuiji,1/16/2024 12:35,27,0,usd,TRUE,15,0,usd,Subscription creation,0.96,Paid,Payment complete.,pm_1OZBrkAKv6LsYLX26zo527JM,cus_PJo5N9acKRxcAs,in_1OZBrlAKv6LsYLX2a3rFVtnB,,,
ch_3OZBYnAKv6LsYLX215yresC7,1/16/2024 12:16,280.07,0,gbp,TRUE,345.52,0,usd,,15.5,Paid,Payment complete.,pm_1OZBYmAKv6LsYLX2EPzfrZ2d,cus_PJaYPqOdeVXbqs,in_1OZBZBAKv6LsYLX2LEsjomrD,,f0f7a411-d78f-4c3a-abf2-4cce65097af4,40375dc9-7834-49eb-9103-745a5ef656cd
ch_3OZAiQAKv6LsYLX22nOS0iC3,1/16/2024 11:21,48,0,usd,TRUE,44,0,usd,,1.58,Paid,Payment complete.,pm_1OZAiQAKv6LsYLX26goUhzQT,cus_PNoieenFPjzZJW,in_1OZAiTAKv6LsYLX25scmkUlP,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZAChAKv6LsYLX21LuxDXS6,1/16/2024 10:49,60.33,0,cad,TRUE,43.56,0,usd,,2.22,Paid,Payment complete.,pm_1OZACgAKv6LsYLX2U3hJarv6,cus_PNYVW5RptJQEfk,in_1OZACkAKv6LsYLX2eZhtDl3P,,a0ff2472-fe58-453b-bc70-af15c0192959,fec5f1d1-2101-406f-b730-bc7f739ac62a
ch_3OThxSAKv6LsYLX21CfRFqeC,1/16/2024 9:40,14,0,usd,FALSE,10,0,usd,Subscription update,0,Failed,The bank returned the decline code `transaction_not_allowed`.,pm_1OISEfAKv6LsYLX2FSrtz3bu,cus_P6fYjfo3nYacQC,in_1OTh10AKv6LsYLX274pQsKDY,,,
ch_3OZ8BOAKv6LsYLX23Jsmamjt,1/16/2024 8:42,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OZ8DaAKv6LsYLX2x56Yoc65,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ8BOAKv6LsYLX23MhpHpvb,1/16/2024 8:40,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OZ8BlAKv6LsYLX2ZLZWBbua,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ8BOAKv6LsYLX23ibMk4WQ,1/16/2024 8:39,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OY9dMAKv6LsYLX2e94yd60a,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ86MAKv6LsYLX20uYsBJHV,1/16/2024 8:34,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OZ86UAKv6LsYLX2OAofwibB,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ86MAKv6LsYLX20inRc5Yu,1/16/2024 8:34,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OY9dMAKv6LsYLX2e94yd60a,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ7zWAKv6LsYLX20o4TtaMU,1/16/2024 8:31,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OZ83mAKv6LsYLX2LNfDgkof,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ7zWAKv6LsYLX20T720aYM,1/16/2024 8:31,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,The bank returned the decline code `try_again_later`.,pm_1OZ83DAKv6LsYLX2dVL3TtXd,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ7zWAKv6LsYLX204H7QAyA,1/16/2024 8:30,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OZ82EAKv6LsYLX2n63eCGfB,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ7zWAKv6LsYLX20sN1zY8w,1/16/2024 8:30,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OZ821AKv6LsYLX29TcwxA1D,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ7zWAKv6LsYLX20EafaUeu,1/16/2024 8:28,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,"Your card was declined. In testmode, using a physical test card with designated amount ending values produce specific decline responses. See https://stripe.com/docs/terminal/references/testing#physical-test-cards for details.",pm_1OZ80VAKv6LsYLX2M72w30Fn,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ7zWAKv6LsYLX20kFU9cBz,1/16/2024 8:28,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,The bank did not return any further details with this decline.,pm_1OZ7zmAKv6LsYLX2HPl3T7Ms,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ7zWAKv6LsYLX20AtXhJii,1/16/2024 8:27,464.13,0,sek,FALSE,464.13,0,sek,,0,Failed,The bank returned the decline code `try_again_later`.,pm_1OY9dMAKv6LsYLX2e94yd60a,cus_PMtPBHYySaYlJd,,,dae443ce-10d3-46ac-b093-e1ae0eb26654,4b8c704c-863d-4e25-9bcf-ce9a1b75a391
ch_3OZ4d7AKv6LsYLX214p7wdDb,1/16/2024 4:52,27,0,usd,TRUE,15,0,usd,Subscription creation,0.74,Paid,Payment complete.,pm_1OZ4d6AKv6LsYLX2Hws7f2pt,cus_P98LNvobHSNjTu,in_1OZ4d7AKv6LsYLX2IMmJwW7c,,,
