order_id,customer_id,product_id,order_date,order_total,tip
1,100101,1001,2020-01-30,26.24,2
2,100110,1002,2021-08-25,6.19,1
3,100106,1005,2022-12-12,3.87,0
4,100103,1007,2018-03-22,4.00,5
5,100102,1003,2017-08-25,9.97,10
6,100108,1009,2018-11-18,87.01,1
7,100101,1001,2022-09-20,2.45,5
8,100104,1008,2018-06-08,16.42,0
9,100105,1007,2019-07-05,8.11,1
10,100106,1006,2018-04-22,53.12,3
11,100103,1001,2019-11-18,27.01,1
12,100101,1003,2018-09-20,10.45,5
13,100106,1008,2020-06-08,90.42,0
14,100102,1009,2022-07-05,11.11,1
15,100104,1006,2020-04-22,24.12,3
