id,city,state,amount,share_under25
1,"MINNEAPOLIS","MN",260.95,.5006417
2,"ASTORIA","NY",230,.5099675
3,"Occidental","CA",0,.4264379
4,"COLLEYVILLE","TX",0,.4892371
5,"NEW GLOUCESTER","ME",1023,.4207275
6,"CHAPEL HILL","NC",329,.4791312
7,"SAINT PAUL","MN",356.6,.4917763
8,"Rocklin","CA",0,.4751711
9,"Loxahatchee","FL",357,.3923365
10,"BOSTON","MA",1000,.5174821
11,"CHESTERTOWN","MD",1000,.4007285
12,"MC LEAN","VA",0,.4798569
13,"PITTSBURGH","PA",0,.4520847
14,"SANTA BARBARA","CA",0,.5105435
15,"Northford","CT",0,.3924814
16,"BEDFORD","MA",2000,.4164453
18,"Wilmington","DE",300,.4404992
19,"NEW YORK","NY",304.6,.477233
20,"REDMOND","WA",280,.4650477
21,"MANCHESTER","CT",350,.4174982
22,"MENLO PARK","CA",500,.4402437
23,"ANNANDALE","VA",404,.4753132
24,"DAVIS","CA",0,.4593699
26,"AUSTIN","TX",0,.5566342
27,"Manzanita","OR",0,.4805841
28,"Mattapoisett","MA",0,.4320377
29,"BROOKLYN","NY",338.88,.5131685
30,"Henderson","NV",0,.4752689
31,"AUSTIN","TX",818.45,.5566342
32,"Bedford","OH",0,.4401636
33,"JENKS","OK",216.2,.4816862
34,"NEW YORK","NY",0,.4982589
35,"PEEKSKILL","NY",350,.420808
36,"CANANDAIGUA","NY",374.99,.4326457
37,"HALF MOON BAY","CA",800,.4402437
38,"SAN DIEGO","CA",1325.37,.520797
39,"INDIANAPOLIS","IN",1064.28,.5148932
40,"WESTMINSTER","CO",300,.4962959
41,"BERKELEY","CA",313,.5246695
42,"SILVER SPRING","MD",0,.4731771
43,"BERNALILLO","NM",0,.4361961
44,"HOUSTON","TX",230,.548726
45,"ATLANTA","GA",0,.5335559
46,"OLYMPIA","WA",0,.437393
47,"Keizer","OR",725,.4768394
48,"NEW YORK","NY",229.94,.477233
49,"BROOKLINE","MA",250,.4494399
50,"CEDAR GROVE","NJ",450,.4573098
51,"LEXINGTON","OH",330,.4243803
53,"SHELTON","CT",625,.3924814
54,"BURKE","VA",0,.4753132
55,"DALLAS","TX",500,.5500803
56,"Fort Lauderdale","FL",0,.4322133
57,"DENVER","CO",300,.5182149
58,"ARLINGTON","MA",0,.4494399
59,"SEATTLE","WA",0,.4679543
60,"EUGENE","OR",308.5,.4229293
61,"PATTERSON","NY",228.6,.4346137
62,"OLYMPIA","WA",425,.437393
64,"BASYE","VA",250,.50011
65,"DAVENPORT","CA",0,.4732465
66,"PITTSBURGH","PA",600,.4520847
67,"Bellingham","WA",0,.4644603
69,"Renton","WA",0,.4650477
70,"Laguna Niguel","CA",0,.448464
71,"Tucson","AZ",0,.4749739
72,"STINSON BEACH","CA",240,.3973311
73,"REDONDO BEACH","CA",400,.5116389
74,"Seattle","WA",1100,.4679543
75,"Lyndhurst","NJ",0,.4573098
76,"FERNDALE","MI",300,.4930004
77,"GRAPEVINE","TX",355,.4892371
78,"EASTVILLE","VA",0,.4647998
79,"El Dorado Hills","CA",0,.4751711
80,"FAIRBURN","GA",0,.4906479
81,"PARADISE VALLEY","AZ",1000,.4831868
82,"Valdosta","GA",0,.5279272
83,"TAKOMA PARK","MD",0,.4731771
84,"Alexandria","VA",0,.4743382
85,"RALEIGH","NC",0,.5281892
86,"STATEN ISLAND","NY",218.11,.4552408
87,"RESTON","VA",0,.4958435
88,"SAINT PAUL","MN",750,.4917763
89,"TARRYTOWN","NY",400,.420808
90,"LEXINGTON","NC",960,.4419411
91,"MONROE CITY","MO",400,.4376504
92,"Stamford","CT",0,.4679229
93,"Bradenton","FL",220,.337309
95,"LYONS","NY",0,.4326457
96,"AMAGANSETT","NY",0,.4160329
97,"BALTIMORE","MD",296.28,.4849183
98,"HONOLULU","HI",1026,.4193506
99,"STUDIO CITY","CA",210,.4961229
100,"KAILUA","HI",250,.4707951
101,"Albuquerque","NM",599.5,.4932771
102,"DEERFIELD","IL",270,.4493886
103,"Seattle","WA",0,.4679543
104,"PORTLAND","OR",220,.4743172
105,"RALEIGH","NC",250,.5281892
106,"GEORGETOWN","TX",0,.5018783
107,"RALEIGH","NC",0,.5281892
108,"DECATUR","GA",400,.4951164
109,"ATLANTA","GA",355,.5335559
110,"CARLSBAD","CA",0,.4887954
111,"DURHAM","NC",520,.5311326
112,"EVERGREEN","CO",250,.4004413
113,"HACKETTSTOWN","NJ",0,.413958
