state,year,robbery_rate,assault_rate,burglary_rate,black,income,age,female
"Alabama",2000,128.2184,317.218,906.9056,.2608735,35424,36.26727,.5172384
"Alabama",2001,125.0796,274.3957,910.3665,.2613023,35160,36.41673,.5169394
"Alabama",2002,132.8873,267.5132,949.0231,.2615287,37603,36.58203,.5165902
"Alabama",2003,134.1554,251.9135,960.8394,.2616632,37255,36.74163,.5160595
"Alabama",2004,133.3721,249.1291,985.9648,.2618508,36629,36.88319,.5160002
"Alabama",2005,141.4496,247.7726,953.8138,.2619503,37150,37.02981,.5156507
"Alabama",2006,153.4889,227.5915,969.1392,.2625807,37952,37.16449,.5153359
"Alabama",2007,159.8582,245.8376,979.5259,.2627139,42212,37.28555,.5151632
"Alabama",2008,157.5752,253.0084,1081.276,.2631536,44476,37.41652,.5150807
"Alabama",2009,132.9239,278.0593,1037.163,.2632037,39980,37.56288,.514542
"Alabama",2010,99.60801,244.2185,879.421,.2637957,40933,37.73046,.5144885
"Alaska",2000,78.15839,405.1476,621.9175,.0363763,52847,31.8627,.4828517
"Alaska",2001,80.95865,422.2766,605.9298,.0367185,57363,32.18746,.4822033
"Alaska",2002,75.95692,402.9289,607.034,.0371114,52774,32.48159,.4820414
"Alaska",2003,68.43214,426.4678,594.1573,.0364474,51837,32.79477,.4827687
"Alaska",2004,68.19898,475.562,575.6483,.0361618,55063,33.08797,.4820473
"Alaska",2005,80.9148,465.1471,622.4564,.0353507,55891,33.3774,.4811784
"Alaska",2006,90.29137,516.3771,617.2646,.0348644,56418,33.60906,.4814453
"Alaska",2007,85.29901,492.0422,538.7152,.0349625,62993,33.85646,.4808731
"Alaska",2008,93.98318,489.5868,472.1016,.0348459,63989,34.09874,.4791761
"Alaska",2009,93.77599,462.7237,514.9805,.0343099,61604,34.31337,.4821926
"Alaska",2010,83.63476,475.7607,437.1817,.0344293,57848,34.38398,.4794961
"Arizona",2000,146.2588,347.7349,1011.61,.0329463,39783,35.3438,.5008305
"Arizona",2001,167.0896,337.0621,1032.93,.0337149,42704,35.44973,.5009363
"Arizona",2002,146.6154,369.764,1082.883,.0344943,39734,35.55213,.5011285
"Arizona",2003,136.5214,335.4709,1050.26,.0352389,41166,35.68433,.5016142
"Arizona",2004,134.4224,329.4141,990.3664,.036298,43846,35.81151,.5016637
"Arizona",2005,144.4448,327.4464,948.3959,.0375056,45245,35.92181,.5019305
"Arizona",2006,149.6193,312.7312,925.2686,.0390828,46657,36.00537,.501918
"Arizona",2007,151.7333,294.348,912.2454,.0404945,47215,36.10296,.5021333
"Arizona",2008,149.1805,265.8696,868.9144,.0419581,46914,36.25434,.5024039
"Arizona",2009,122.7907,248.1284,809.7908,.0432898,45739,36.52814,.5028899
"Arizona",2010,108.526,259.2922,794.2876,.0439591,46896,36.76505,.503066
"Arkansas",2000,74.84851,332.4231,802.0872,.1574311,29697,36.62728,.5118424
"Arkansas",2001,81.01512,333.1612,824.4895,.1574779,33339,36.72543,.5115395
"Arkansas",2002,93.13382,298.1832,857.1337,.1573239,32387,36.83859,.5111886
"Arkansas",2003,81.74005,334.8114,913.6321,.1570154,32002,36.9403,.5106851
"Arkansas",2004,86.17216,364.1246,1093.464,.1567023,34984,37.02455,.5102575
"Arkansas",2005,91.07088,386.7724,1084.611,.1561129,36658,37.09694,.5099768
"Arkansas",2006,98.40363,399.4134,1139.931,.1563105,37057,37.20362,.5097625
"Arkansas",2007,106.6743,371.2435,1131.369,.1556344,40795,37.30773,.5094898
"Arkansas",2008,95.78376,353.0866,1180.014,.1557184,39586,37.41792,.5093729
"Arkansas",2009,89.35957,374.8118,1203.135,.15556,36538,37.52131,.5091795
"Arkansas",2010,81.3466,374.2561,1114.949,.1558862,38587,37.63274,.5089256
"California",2000,177.8744,408.6544,656.2805,.0701692,46816,34.14108,.5016602
"California",2001,187.0808,394.6045,672.4418,.0696536,47262,34.29894,.5015805
"California",2002,185.0095,372.5563,678.9719,.0692043,47437,34.47893,.5017934
"California",2003,179.7125,364.6104,682.761,.0687323,49300,34.66389,.5023524
"California",2004,172.0854,346.2854,685.0849,.0683606,49222,34.82812,.5023648
"California",2005,176.0814,317.3379,693.3466,.0679729,51755,35.01318,.5022959
"California",2006,194.6593,305.7117,676.0301,.0676673,55319,35.18777,.5024117
"California",2007,192.9844,298.7699,648.4382,.0673075,55734,35.38857,.5024764
"California",2008,188.7685,284.9633,647.0527,.0669856,57014,35.5718,.5025899
"California",2009,173.404,269.6875,622.637,.0668151,56134,35.78702,.5027721
"California",2010,155.9995,257.3606,614.316,.0666978,54283,35.9634,.5028328
"Colorado",2000,70.53745,219.1218,630.815,.0403199,48240,34.50816,.4963673
"Colorado",2001,80.47148,222.9434,645.877,.0406095,49397,34.59075,.4961275
"Colorado",2002,79.41788,223.1866,702.9337,.0408115,48294,34.73758,.496317
"Colorado",2003,82.0755,217.5715,711.321,.0406206,49940,34.95334,.4975375
"Colorado",2004,81.49688,245.0557,717.3464,.0410908,50886,35.17337,.4971595
"Colorado",2005,84.62701,264.7488,744.7949,.0409554,50449,35.37847,.4983363
"Colorado",2006,80.67948,263.9597,682.0835,.0414306,55697,35.58836,.4984638
"Colorado",2007,71.02724,232.479,591.4,.041574,61141,35.76667,.4988549
"Colorado",2008,68.12491,229.2965,572.0468,.0419324,60943,35.93263,.4988128
"Colorado",2009,67.40636,222.3395,530.355,.0423642,55930,36.12776,.4989165
"Colorado",2010,62.27636,212.4196,520.0235,.0427752,60233,36.29527,.498709
"Connecticut",2000,112.5217,189.3959,511.9855,.0983678,50172,37.17982,.5156603
"Connecticut",2001,122.1287,191.6747,500.9819,.0993616,53347,37.31554,.5153056
"Connecticut",2002,117.324,170.4088,493.8011,.1005233,53387,37.44389,.5147815
"Connecticut",2003,119.0226,167.4814,448.1003,.1016199,54965,37.58348,.5147231
