year,ahe,bachelor,female,age
1992,18.31041,1,0,29
1992,16.36493,1,0,33
1992,9.441307,0,0,30
1992,2.557021,0,0,32
1992,24.47746,1,0,31
1992,14.17219,1,1,26
1992,12.74576,0,1,31
1992,29.1107,0,0,33
1992,18.09584,0,0,29
1992,19.76774,0,0,30
1992,23.60327,1,0,30
1992,12.9818,1,1,30
1992,22.4793,1,1,34
1992,11.80163,0,1,26
1992,38.552,1,0,29
1992,14.9862,1,0,31
1992,19.13778,0,1,34
1992,11.01486,0,0,32
1992,20.45617,0,0,30
1992,14.16196,0,1,28
1992,19.276,0,0,26
1992,6.530237,0,1,31
1992,31.42067,0,0,34
1992,17.94548,0,1,29
1992,9.834695,1,0,31
1992,3.099419,0,0,31
1992,11.80163,0,1,34
1992,25.6384,0,0,30
1992,8.339821,1,1,25
1992,19.85015,1,1,28
1992,20.41582,1,0,25
1992,15.73551,0,0,34
1992,20.02702,0,0,30
1992,23.83083,1,1,28
1992,12.5608,0,0,32
1992,16.27195,0,1,31
1992,28.48128,1,0,33
1992,13.79883,1,0,31
1992,17.62377,1,1,30
1992,16.52229,0,0,29
1992,10.4304,0,1,31
1992,17.62377,0,0,33
1992,12.02322,0,0,30
1992,17.16601,0,0,32
1992,18.88261,0,1,34
1992,5.900817,0,1,33
1992,12.58841,0,1,25
1992,9.110033,0,1,27
1992,16.02161,0,0,27
1992,13.37519,0,0,32
1992,12.58841,0,1,28
1992,21.53281,0,0,34
1992,23.5954,1,0,29
1992,9.983427,0,0,30
1992,21.1265,0,0,33
1992,25.17682,1,0,31
1992,22.02972,1,0,32
1992,27.97424,1,1,33
1992,11.80163,0,1,33
1992,13.98712,0,0,27
1992,11.52194,0,0,31
1992,28.76058,0,0,29
1992,22.02972,0,0,32
1992,3.850572,0,1,30
1992,9.126596,0,0,33
1992,13.19816,0,1,25
1992,17.4839,0,1,29
1992,10.22808,1,1,29
1992,14.74687,0,0,31
1992,17.71259,0,1,30
1992,14.72844,0,0,29
1992,9.110033,0,1,27
1992,16.08519,0,1,27
1992,16.94594,0,0,30
1992,20.49276,1,1,33
1992,22.37939,1,1,28
1992,23.37848,1,0,30
1992,36.73691,1,0,33
1992,26.22585,0,0,30
1992,29.54779,1,0,29
1992,20.45617,0,1,33
1992,12.9818,0,0,25
1992,12.75835,0,1,32
1992,37.76523,1,0,26
1992,31.47103,0,0,32
1992,26.75037,0,0,34
1992,60.84398,1,0,28
1992,30.68425,1,1,27
1992,13.37519,0,0,27
1992,31.47103,1,0,34
1992,20.52458,0,0,30
1992,6.787868,0,1,30
1992,20.05029,1,0,27
1992,15.73551,0,0,30
1992,14.9862,0,0,26
1992,14.16196,0,0,29
1992,7.867756,0,1,33
1992,10.54668,0,1,30
1992,21.60057,0,1,33
1992,23.60327,0,0,33
1992,13.21783,0,1,29
1992,21.95653,0,0,30
1992,27.53715,1,1,31
1992,21.68004,0,1,34
1992,29.54779,1,0,33
1992,36.97845,1,1,31
1992,31.47103,0,0,28
1992,11.80163,1,0,30
1992,35.4049,1,0,29
1992,10.49034,0,0,27
1992,20.94711,0,0,33
1992,20.57306,0,1,27
1992,17.98344,0,0,28
1992,15.38583,0,1,32
1992,18.32243,0,0,32
1992,14.39799,1,0,28
1992,28.32392,1,0,29
1992,20.02702,0,0,32
1992,52.71397,1,0,31
1992,19.66939,1,0,25
1992,25.96359,1,0,27
1992,18.25319,0,0,33
1992,17.30906,0,0,26
1992,11.01486,1,1,31
1992,14.72844,0,0,26
1992,14.94874,0,0,29
1992,7.36422,0,1,28
1992,24.5474,0,1,29
1992,15.73551,1,1,27
1992,9.441307,0,0,25
1992,29.1107,1,0,31
1992,10.49034,0,0,26
1992,28.32392,1,0,28
1992,11.80163,0,1,29
1992,26.18625,1,0,31
1992,23.37848,1,1,25
1992,12.58841,0,1,34
1992,15.55219,0,1,33
1992,17.30906,1,0,26
1992,7.855168,1,0,31
1992,14.31932,1,0,26
1992,19.76774,0,0,32
1992,9.91814,0,1,29
1992,23.37318,1,0,32
1992,18.09584,0,1,30
1992,22.02972,0,0,34
1992,11.59459,0,1,28
1992,9.834695,0,1,27
1992,17.30906,1,0,29
1992,22.37939,0,0,28
1992,15.73551,0,1,30
1992,18.09584,0,0,32
1992,7.867756,0,1,32
1992,12.06389,1,0,28
1992,18.09584,1,1,26
1992,11.68924,0,0,29
1992,11.80163,0,1,28
1992,11.04834,0,0,28
1992,18.09584,0,0,25
1992,19.58197,1,1,29
1992,30.77167,1,0,32
1992,17.70245,0,0,34
1992,10.22808,0,1,32
1992,15.73551,0,1,33
1992,15.34212,0,1,26
1992,20.14145,1,0,27
1992,14.16196,0,0,28
1992,13.37519,0,1,26
1992,15.38583,0,1,34
1992,14.38675,0,1,32
1992,31.47103,0,0,32
1992,22.81649,0,0,30
1992,11.52194,0,0,30
1992,16.52229,0,1,31
1992,11.80163,1,1,25
1992,28.32392,0,0,31
1992,12.2737,0,0,31
1992,12.58841,0,0,27
1992,6.818721,0,0,26
1992,19.66939,1,1,32
1992,11.53938,0,0,28
1992,13.63744,0,0,34
1992,13.98712,0,0,28
1992,7.867756,0,1,26
1992,59.00817,1,0,32
1992,17.4839,0,0,33
1992,7.867756,1,1,31
1992,30.68425,0,1,32
1992,22.55423,1,0,28
1992,18.73275,0,0,30
1992,13.37519,0,0,32
1992,35.4049,0,0,34
1992,19.66939,0,0,30
1992,15.9776,0,0,28
1992,27.53715,1,0,27
1992,9.451535,0,1,33
1992,18.76617,0,0,32
1992,26.75037,1,0,26
1992,27.53715,1,0,30
1992,21.24294,1,1,32
1992,9.441307,0,1,27
1992,14.94874,0,0,33
1992,22.02972,1,1,32
1992,13.11293,1,0,29
1992,20.45617,0,1,34
1992,11.01486,1,0,34
1992,23.35849,1,0,27
1992,17.4839,0,0,27
1992,14.94874,0,0,27
1992,31.47103,1,1,25
1992,16.99435,1,0,25
1992,18.09584,0,0,27
1992,26.75037,1,1,26
1992,30.8416,1,0,33
1992,20.45617,0,0,26
1992,25.96359,0,0,29
1992,43.66604,1,0,33
1992,30.46002,0,0,29
1992,11.40982,0,1,31
1992,15.38583,0,0,27
1992,18.88261,0,0,29
1992,39.33878,1,1,32
1992,11.32957,0,0,30
1992,18.88261,1,1,34
1992,25.17682,0,0,29
1992,21.81991,0,0,27
1992,6.955096,0,1,32
1992,21.24294,0,0,34
1992,15.73551,0,0,27
1992,18.32715,0,0,27
1992,22.36099,0,1,34
1992,15.73551,0,1,30
1992,17.71583,0,1,33
1992,31.47103,0,0,30
1992,18.88261,0,0,26
1992,27.53715,0,0,33
1992,21.86056,0,1,33
1992,11.45545,1,1,34
1992,15.73551,0,0,29
1992,13.84725,1,0,32
1992,18.88261,0,1,31
1992,18.09584,0,0,33
1992,25.46957,0,0,31
1992,22.17448,1,0,33
1992,23.4203,0,0,30
1992,47.20654,1,0,30
1992,15.44941,1,1,30
1992,23.28856,1,0,30
1992,14.68648,1,0,27
1992,20.94711,1,1,28
1992,23.60327,0,0,34
1992,74.74368,1,0,28
1992,18.09584,1,1,27
1992,19.66939,1,1,26
1992,22.02972,0,0,33
1992,41.96136,1,0,27
1992,15.73551,0,0,26
1992,5.844619,1,0,31
1992,23.60327,1,0,34
1992,33.83135,1,1,31
1992,31.47103,0,0,33
1992,12.58841,1,0,29
1992,27.53715,0,0,26
1992,17.30906,0,0,32
1992,16.5637,0,1,28
1992,26.02024,0,1,33
1992,14.62091,0,0,27
1992,26.75037,0,0,34
1992,24.5474,1,0,28
1992,11.80163,0,1,26
1992,23.28856,0,1,32
1992,48.95493,1,0,34
1992,23.60327,0,0,29
1992,25.96359,0,0,27
1992,14.94874,0,1,27
1992,25.96359,1,1,29
1992,39.65349,1,0,31
1992,25.17682,1,1,31
1992,18.88261,0,0,34
1992,18.88261,0,0,32
1992,20.33512,0,0,29
1992,23.60327,0,0,34
1992,12.19187,0,1,30
1992,10.22808,0,1,31
1992,11.80163,0,0,25
1992,35.4049,0,0,34
1992,15.73551,1,1,34
1992,26.43566,1,0,27
1992,26.57553,1,0,29
1992,28.22164,0,0,31
1992,32.83933,0,1,30
1992,31.47103,0,0,30
1992,7.867756,0,0,32
1992,14.16196,0,1,33
1992,14.16196,0,0,28
1992,43.36008,1,0,31
1992,25.17682,0,0,28
1992,23.60327,1,1,30
1992,15.73551,0,1,29
1992,25.17682,1,0,27
1992,17.4839,0,1,25
1992,67.6627,1,0,32
1992,18.88261,0,0,32
1992,20.45617,0,1,31
1992,12.51436,0,0,29
1992,19.66939,1,1,25
1992,18.18326,1,1,26
1992,17.30906,1,0,26
1992,9.126596,0,0,28
1992,27.53715,0,0,34
1992,23.60327,1,0,29
1992,19.59071,0,0,32
1992,13.13915,0,0,25
1992,25.17682,1,1,31
1992,24.47746,1,1,27
1992,31.47103,0,1,30
1992,11.80163,0,0,27
1992,39.33878,1,1,34
1992,25.17682,1,0,29
1992,18.88261,1,1,28
1992,19.58197,0,0,33
1992,16.36493,0,1,30
1992,40.91233,1,0,30
1992,16.78455,0,1,30
1992,13.37519,0,1,25
1992,17.4839,1,1,26
1992,18.88261,1,1,34
1992,19.51203,0,1,26
1992,25.17682,1,0,29
1992,9.441307,0,0,27
1992,22.88802,1,0,29
1992,19.66939,1,0,29
1992,23.60327,1,1,27
1992,10.22808,0,1,30
1992,12.58841,0,1,30
1992,19.63792,0,1,31
1992,19.75226,1,0,32
1992,19.40713,1,1,26
1992,15.28593,0,1,29
1992,28.32392,1,0,30
1992,16.85948,1,1,27
1992,7.879715,1,1,29
1992,20.98068,1,1,28
1992,16.36493,1,1,26
1992,40.91233,1,0,34
1992,18.41055,0,0,34
1992,35.4049,1,0,25
1992,12.58841,1,0,26
1992,39.33878,1,0,31
1992,21.24294,1,1,30
1992,19.66939,0,0,25
1992,19.66939,0,0,26
1992,18.88261,1,1,27
1992,31.47103,1,0,26
1992,19.66939,0,0,26
1992,10.22808,0,0,30
1992,26.43566,1,1,28
1992,22.31582,1,0,26
1992,22.02972,0,0,32
1992,17.4839,1,0,27
1992,29.9724,0,0,28
1992,21.24294,1,1,32
1992,14.10084,1,0,27
1992,20.77088,0,1,30
1992,59.00817,1,0,28
1992,15.73551,0,0,30
1992,18.56791,1,1,28
1992,29.1107,1,0,30
1992,24.47746,1,1,29
1992,24.37168,1,1,28
1992,16.36493,1,0,26
1992,15.73551,1,1,26
1992,16.53173,1,1,31
1992,27.45847,1,0,30
1992,18.29711,0,1,27
1992,17.70245,1,1,29
1992,38.552,0,0,31
1992,23.60327,1,1,27
1992,20.45617,1,1,29
1992,19.66939,0,0,31
1992,23.28856,1,0,31
1992,18.88261,1,0,34
1992,29.89747,1,0,33
1992,9.626431,1,0,27
1992,19.66939,1,1,27
1992,25.96359,1,1,28
1992,56.64784,1,0,32
1992,16.36493,0,1,34
1992,28.32392,0,1,28
1992,31.47103,1,0,32
1992,41.19843,1,0,32
1992,9.834695,0,0,25
1992,38.73357,0,0,31
1992,7.867756,0,0,32
1992,14.23434,0,1,32
1992,24.94708,0,0,31
1992,24.39004,1,0,30
1992,32.2578,1,0,27
1992,33.04457,1,0,34
1992,29.9724,1,1,30
1992,27.63855,1,1,33
1992,15.10609,1,0,31
1992,33.04457,1,1,28
1992,11.80163,1,0,25
1992,23.60327,1,0,25
1992,17.70245,1,1,30
1992,27.53715,1,0,34
1992,19.78179,1,0,28
1992,34.78376,0,0,28
1992,15.73551,1,1,26
1992,20.2398,1,1,26
1992,19.63792,0,0,33
1992,12.2737,0,0,27
1992,16.52229,1,0,26
1992,19.66939,1,1,26
1992,22.02972,0,0,30
1992,8.766928,0,0,25
1992,24.47746,1,0,27
1992,17.62377,1,1,25
1992,30.68425,1,1,28
1992,27.53715,1,1,28
1992,20.77088,1,0,31
1992,20.59922,1,0,28
1992,23.60327,1,1,25
1992,26.43566,0,0,30
1992,23.60327,1,1,28
1992,16.10145,1,0,31
1992,29.89747,0,0,29
1992,19.276,1,1,25
1992,18.3581,1,1,25
1992,24.81369,1,0,34
1992,33.83135,1,0,33
1992,13.91988,1,0,31
1992,33.04457,0,0,34
1992,27.97424,0,0,31
1992,18.88261,1,0,26
1992,19.66939,0,0,33
1992,29.89747,1,0,26
1992,40.91233,1,1,32
1992,23.60327,1,1,32
1992,18.38065,0,1,34
1992,20.45617,1,0,27
1992,13.48758,1,0,25
1992,23.60327,1,0,27
1992,23.60327,1,1,26
1992,25.17682,1,1,34
1992,28.32392,1,1,29
1992,24.39004,0,1,25
1992,10.22808,0,0,27
1992,17.62377,1,0,29
1992,31.47103,1,0,33
1992,40.36159,1,0,32
1992,26.43566,1,1,33
1992,23.60327,1,0,33
1992,35.4049,1,1,30
1992,18.09584,0,1,26
1992,31.41438,0,0,28
1992,29.1107,0,0,30
1992,16.67964,1,1,30
1992,29.1107,1,0,27
1992,38.552,1,0,33
1992,11.80163,0,1,26
1992,31.47103,0,0,27
1992,14.90733,1,1,31
1992,23.20988,0,0,29
1992,33.26937,1,1,33
1992,27.53715,0,0,32
1992,22.02972,1,1,28
1992,8.933917,0,0,25
1992,15.73551,1,1,26
1992,21.68004,1,1,28
1992,22.02972,1,0,34
1992,34.21425,1,1,26
1992,18.88261,0,0,26
1992,31.47103,1,0,25
1992,12.55244,0,1,32
1992,31.47103,0,0,32
1992,25.17682,1,0,27
1992,10.07073,1,0,25
1992,21.24294,0,1,25
1992,27.97424,0,0,29
1992,19.66939,1,0,28
1992,10.49034,0,1,32
1992,19.26027,0,0,34
1992,22.4793,1,1,25
1992,30.07231,0,0,34
1992,24.07114,1,0,28
