county,police,homicides
Avon and Somerset,2957,15
Bedfordshire,1128,8
Cambridgeshire,1348,6
Cheshire,2025,5
Cleveland,1490,3
Cumbria,1128,6
Derbyshire,1822,3
Devon and Cornwall,3146,14
Dorset,1337,1
Durham,1365,5
Dyfed-Powys,1120,6
Essex,3331,14
Gloucestershire,1218,4
Greater Manchester,7323,27
Gwent,1416,4
Hampshire,3453,13
Hertfordshire,1968,11
Humberside,1831,6
Kent,3400,14
Lancashire,3236,16
Leicestershire,2104,15
Lincolnshire,1132,5
"London, City of",809,5
Merseyside,3995,12
Metropolitan Police,31435,111
Norfolk,1524,4
North Wales,1466,10
North Yorkshire,1394,5
Northamptonshire,1220,8
Northumbria,3852,21
Nottinghamshire,2127,13
South Wales,2881,10
South Yorkshire,2775,21
Staffordshire,1899,2
Suffolk,1175,9
Surrey,1981,7
Sussex,2896,10
Thames Valley,4327,25
Warwickshire,827,2
West Mercia,2131,17
West Midlands,7687,42
West Yorkshire,5095,15
Wiltshire,1062,6
