id,earnings,height,weight,male,age
1,8.405475,165,60,0,48
2,1.402139453,165,70,0,41
3,8.405475,152,49,0,26
4,8.405475,170,68,0,37
5,2.856038672,173,82,0,35
6,2.336287305,160,46,0,25
7,3.892533594,170,68,0,29
8,8.405475,165,57,0,44
9,8.405475,170,59,0,50
10,8.405475,168,50,0,38
11,8.405475,165,50,0,30
12,3.892533594,173,61,0,29
13,8.405475,165,56,0,26
14,4.943010938,160,60,0,50
15,1.608158789,165,50,0,65
16,8.405475,180,92,0,45
17,2.336287305,168,59,0,26
18,4.415216016,173,100,0,57
19,8.405475,168,89,0,40
20,4.943010938,173,61,0,36
21,8.405475,163,73,0,60
22,3.371296875,165,52,0,32
23,4.415216016,155,57,0,33
24,8.405475,163,52,0,27
25,4.415216016,152,77,0,52
26,8.405475,173,82,0,36
27,8.405475,165,58,0,53
28,2.856038672,170,52,0,29
29,2.336287305,168,64,0,35
30,8.405475,160,54,0,46
31,0.67112876,163,56,0,47
32,3.371296875,163,77,0,34
33,3.892533594,168,50,0,34
34,2.336287305,165,91,0,57
35,8.405475,168,64,0,50
36,8.405475,168,59,0,41
37,2.336287305,168,64,0,29
38,1.402139453,163,73,0,35
39,8.405475,168,62,0,58
40,3.371296875,157,52,0,29
41,1.81688418,157,68,0,42
42,4.415216016,168,227,0,34
43,3.371296875,155,61,0,32
44,4.415216016,157,54,0,38
45,2.856038672,168,64,0,36
46,8.405475,168,91,0,50
47,3.371296875,165,66,0,29
48,4.943010938,155,51,0,46
49,2.336287305,160,75,0,58
50,2.336287305,170,73,0,43
51,8.405475,165,66,0,45
52,4.415216016,170,61,0,29
53,2.856038672,168,68,0,54
54,8.405475,168,66,0,42
55,8.405475,173,67,0,43
56,2.856038672,168,63,0,31
57,4.943010938,168,73,0,54
58,8.405475,178,70,0,59
59,8.405475,168,61,0,59
60,4.415216016,168,84,0,50
61,8.405475,157,67,0,39
62,8.405475,155,64,0,35
63,8.405475,157,47,0,37
64,8.405475,163,73,0,55
65,3.892533594,165,64,0,46
66,1.608158789,178,66,0,63
67,4.415216016,157,70,0,54
68,8.405475,163,75,0,48
69,8.405475,160,52,0,32
70,8.405475,178,76,0,31
71,8.405475,173,64,0,27
72,8.405475,170,61,0,43
73,3.371296875,170,68,0,47
74,1.195345508,160,60,0,34
75,8.405475,157,53,0,48
76,8.405475,173,52,0,33
77,8.405475,175,93,0,40
78,2.336287305,165,75,0,31
79,3.892533594,163,70,0,39
80,1.086542871,157,68,0,28
81,8.405475,170,68,0,40
82,8.405475,157,54,0,38
83,3.892533594,165,73,0,58
84,1.295476563,160,61,0,34
85,3.371296875,170,75,0,43
86,8.405475,160,52,0,35
87,8.405475,168,69,0,31
88,8.405475,168,54,0,38
89,3.371296875,155,54,0,29
90,4.943010938,170,114,0,56
91,4.943010938,170,52,0,28
92,8.405475,170,64,0,31
93,2.336287305,157,84,0,41
94,8.405475,168,50,0,36
95,4.943010938,163,59,0,41
96,8.405475,163,86,0,46
97,8.405475,173,57,0,55
98,8.405475,163,73,0,50
99,2.336287305,165,64,0,58
100,8.405475,165,58,0,45
101,4.415216016,170,111,0,41
102,2.336287305,168,64,0,31
103,2.336287305,160,59,0,41
104,3.892533594,157,59,0,65
105,8.405475,160,53,0,36
106,2.856038672,155,73,0,42
107,2.856038672,165,58,0,33
108,8.405475,160,54,0,54
109,8.405475,170,77,0,39
110,8.405475,183,68,0,57
111,2.336287305,168,64,0,49
112,2.336287305,168,66,0,53
113,3.371296875,163,50,0,35
114,8.405475,163,66,0,36
115,2.856038672,163,67,0,29
116,8.405475,165,61,0,41
117,4.415216016,170,73,0,44
118,2.856038672,160,75,0,59
119,4.943010938,170,61,0,32
120,8.405475,168,227,0,46
121,8.405475,165,52,0,31
122,8.405475,168,61,0,40
123,4.415216016,155,52,0,41
124,1.923719531,170,54,0,34
125,8.405475,155,67,0,29
126,3.892533594,160,77,0,39
127,4.943010938,165,59,0,32
128,3.892533594,163,57,0,41
129,4.415216016,155,64,0,43
130,8.405475,160,95,0,29
131,4.415216016,165,64,0,31
132,8.405475,178,77,0,43
133,8.405475,165,63,0,32
134,8.405475,168,94,0,60
135,8.405475,157,61,0,35
136,8.405475,170,74,0,55
137,3.371296875,160,68,0,26
138,8.405475,168,227,0,37
139,8.405475,163,52,0,37
140,2.336287305,168,57,0,59
141,8.405475,150,57,0,49
142,8.405475,163,70,0,34
143,3.371296875,175,73,0,38
144,8.405475,157,73,0,33
145,2.856038672,173,68,0,52
146,8.405475,165,70,0,49
147,3.371296875,175,77,0,37
148,8.405475,163,64,0,47
149,8.405475,165,227,0,44
150,3.371296875,160,82,0,38
151,8.405475,168,73,0,35
152,3.371296875,155,49,0,26
153,3.892533594,163,62,0,60
154,8.405475,160,86,0,47
155,8.405475,168,59,0,27
156,8.405475,155,91,0,45
157,4.943010938,173,64,0,53
158,8.405475,157,227,0,32
159,3.371296875,173,73,0,43
160,4.943010938,178,57,0,36
161,4.415216016,175,82,0,30
162,8.405475,168,60,0,33
163,8.405475,175,73,0,45
164,8.405475,163,52,0,34
165,8.405475,165,48,0,42
166,3.371296875,160,82,0,44
167,2.336287305,183,66,0,25
168,4.943010938,175,59,0,42
169,2.336287305,175,59,0,43
170,3.371296875,170,70,0,46
171,2.336287305,157,43,0,30
172,8.405475,178,70,0,38
173,4.415216016,165,59,0,34
174,2.030550977,168,65,0,35
175,8.405475,160,68,0,33
176,4.415216016,180,73,0,52
177,2.856038672,173,62,0,37
178,4.943010938,163,64,0,33
179,8.405475,165,68,0,38
180,3.892533594,163,54,0,31
